school_id_A,school_id_B,extracted_school_name_A,school_name_A,school_name_B,address_from_B,Match_Type
9480,169,Adarsha Mavi,आदर्श मावि सफाई धाप धनकुटा,Adarsha Mavi,"Saphaidhap,Dhankuta, Sahidbhumi Rural Municipality, Dhankuta, Koshi Province",Matched with school name of B
6630,560,Adarsha Mavi,आदर्श मावि खजुरा बाँके,Adarsha Mavi,"Aadarsha Tole, Khajura Rural Municipality, Banke, Lumbini Province",Matched with school name of B
2410,371,Adarsha Mavi,आदर्श मावि गजुरी धादिङ,Adarsha Mavi,"Thakre,Damechaur, Thakre Rural Municipality, Dhading, Bagamati Province",Matched with school name of B
2409,370,Aadarsha Mavi,अादर्श मावि गजुरी धादिङ,Adarsha Mavi,"Gajuri, Gajuri Rural Municipality, Dhading, Bagamati Province",Matched with school name of B
9545,369,Adarsha Mavi,आदर्श मावि कागेश्वरी मनहरा भद्रवास काठमाडौं,Adarsha Mavi,"Bhadrabas, Kageshwori Manahara Municipality, Kathmandu, Bagamati Province",Matched with school name of B
1289,566,Ardasha Mavi,आर्दश मावि वि दिगामकोट गुल्मी,Adarsha Mavi,"Chhatrakot, Chhatrakot Rural Municipality, Gulmi, Lumbini Province",Matched with school name of B
9246,168,Adarsha Mavi,आदर्श मावि बुद्धशान्ति जयपुर झापा,Adarsha Mavi,"Aayabari, Mechinagar Municipality, Jhapa, Koshi Province",Matched with school name of B
24291,567,Adarsha Mavi,आदर्श मावि अर्घाखाँची,Adarsha Mavi,"Malarani-3 , Khanadaha, Malarani Rural Municipality, Arghakhanchi, Lumbini Province",Matched with school name of B
4608,153,Adarsha Mavi,आदर्श मावि विराटनगर मोरङ,Adarsha Mavi,"Adarsh Tole, Rangeli Municipality, Morang, Koshi Province",Matched with school name of B
16691,166,Adarsha Mavi,आदर्श मावि खेजेनिम ताप्लेजुङ,Adarsha Mavi,"khejenim, Phaktanglung Rural Municipality, Taplejung, Koshi Province",Matched with school name of B
2358,365,Adarsha Mavi,आदर्श मावि दिव्यनगर चितवन,Adarsha Mavi Bharatpur,"Dibyanagar, Bharatpur Metropolitan City, Chitwan, Bagamati Province",Matched with old school name1 of B
6792,614,Adarsha Mavi,आदर्श मावि वि मेहेली गर्पन सुर्खेत,Adarsha Mavi Lekhpharsha,"lekbeshi, Lekbesi Municipality, Surkhet, Karnali Province",Matched with old school name1 of B
14309,133,Adarsha Mavi,आदर्श मावि रामधुनी वक्लौरी सुनसरी,Adarsha Mavi Vidhyalaya,"Baklauri Bazaar, Ramdhuni Municipality, Sunsari, Koshi Province",Matched with old school name1 of B
1472,159,Adarsha Pravi,आदर्श प्रावि झापा,Adarsha Pravi,"Harira, Gauriganj Rural Municipality, Jhapa, Koshi Province",Matched with school name of B
11008,161,Adarsha Pravi,आदर्श प्रावि विराटनगर मोरङ,Adarsha Pravi,"Tribhuvan Tole, Biratnagar Metropolitan City, Morang, Koshi Province",Matched with school name of B
23795,164,Adarsha Pravi,आदर्श प्रावि शान्तीनगर झापा,Adarsha Pravi,"Bhaishabari, Bhadrapur Municipality, Jhapa, Koshi Province",Matched with school name of B
26917,420,Adarsha Pravi,आदर्श प्रावि देउपुर पर्वत,Adarsha Pravi,"Tapu, Modi Rural Municipality, Parbat, Gandaki Province",Matched with school name of B
26070,419,Adarsha Pravi,आदर्श प्रावि शितल चौतारी लमजुङ,Adarsha Pravi,"Sundarbazar Municipality, Sundarbazar Municipality, Lamjung, Gandaki Province",Matched with school name of B
24222,163,Adarsha Pravi,आदर्श प्रावि तेह्रथुम,Adarsha Pravi,"Myanglung, Myanglung Municipality, Tehrathum, Koshi Province",Matched with school name of B
1520,160,Adarsha Pravi,आदर्श प्रावि पथरिया झापा,Adarsha Pravi,"Aadarsha Tol, Kachankawal Rural Municipality, Jhapa, Koshi Province",Matched with school name of B
1956,366,Adarsha Ra Pravi,आदर्श रा प्रावि चितवन,Adarsha Pravi,"Tarauli, Ratnangar Municipality, Chitwan, Bagamati Province",Matched with school name of B
4559,171,Adarsha Shiksha Niketana Avi,आदर्श शिक्षा निकेतन आवि ग्रामथान मोरङ,Adarsha Sikshya Niketan Avi,"Gramthan, Gramthan Rural Municipality, Morang, Koshi Province",Matched with school name of B
22889,173,Adarsha Shishu Pravi,आदर्श शिशु प्रावि भोजपुर,Adarsha Sishu Pravi,"Puranodabali, Bhojpur Municipality, Bhojpur, Koshi Province",Matched with school name of B
23747,174,Adarsha Sita Avi,आदर्श सीता आवि मोरङ,Adarsha Sita Avi,"Ringuwa, Pathari Shanishchare Municipality, Morang, Koshi Province",Matched with school name of B
21021,176,Adarsha Vidya Mandira Mavi,आदर्श विद्या मन्दिर मावि झापा,Adarsha Vidya Mandir Mavi,"Kanakai, Kanakai Municipality, Jhapa, Koshi Province",Matched with school name of B
3555,377,Adharabhuta Shiksha Pravi,आधारभुत शिक्षा प्रावि मकवानपुर,Adharbhoot Shiksha Avi,"Khaireni, Makawanpurgadhi Rural Municipality, Makwanpur, Bagamati Province",Matched with old school name2 of B
481,427,Adharabhuta Mavi,आधारभुत मावि राईपुर तनहुँँ,Adharbhut Mavi,"Sankhe, Shuklagandaki Municipality, Tanahun, Gandaki Province",Matched with school name of B
23536,425,Adharabhumi Mavi,आधारभुमी मावि स्याङजा,Adharbhut Mavi,"Chhekma, Harinas Rural Municipality, Syangja, Gandaki Province",Matched with school name of B
19860,426,Adharabhuta Pravi,आधारभुत प्रावि बागलुङ,Adharbhut Pravi,"KafalDanda, Baglung Municipality, Baglung, Gandaki Province",Matched with school name of B
10460,598,Adhiyari Mavi,अधियारी मावि एकला रुपन्देही,Adhiyari Mavi,"Adhiyari, Lumbini Sanskritik Municipality, Rupandehi, Lumbini Province",Matched with school name of B
3957,393,Adhunika Rashtriya Mavi,आधुनिक राष्ट्रिय मावि हेटौडा मकवानपुर,Adhunik Rastriya Mavi,"Hetauda, Hetauda Sub Metropolitan City, Makwanpur, Bagamati Province",Matched with school name of B
1297,397,Adinatha Mavi,आदिनाथ मावि चाेभार काठमाडौं,Adinath Mavi,"Chobhar, Kirtipur Municipality, Kathmandu, Bagamati Province",Matched with school name of B
24580,5102,Aglu~Nga Mavi,अग्लुङ्ग मावि मदाने गा पा गुल्मी,Aglung Mavi,"Madane 1 Aglung, Madane Rural Municipality, Gulmi, Lumbini Province",Matched with school name of B
16090,430,Ahala Bha~Njya~Nga Mavi,आहाल भञ्ज्याङ्ग मावि गोरखा,Ahal Bhanjyang Mavi,"Siranchok, Siranchowk Rural Municipality, Gorkha, Gandaki Province",Matched with school name of B
3027,3108,Ahalada.Nda Pravi,आहालडाँडा प्रावि धादिङ,Ahal Danda Avi,"Neelakantha, Neelakantha Municipality, Dhading, Bagamati Province",Matched with old school name1 of B
26028,198,Ahale Avi,आहाले आवि संखुवासभा,Ahale Avi,"Aahale, Chichila Rural Municipality, Sankhuwasabha, Koshi Province",Matched with school name of B
4533,3111,Aiselu Bhume Mavi,ऐसेलु भुमे मावि नुवाकोट,Aiselu Bhume Mavi,"Aiselu Kuna, Kispang Rural Municipality, Nuwakot, Bagamati Province",Matched with school name of B
13450,754,Aishvarya Avi,ऐश्वर्य आवि जानकी गा पा कैलाली,Aishwarya Avi,"Pal Bazar, Janaki Rural Municipality, Kailali, Sudurpashchim Province",Matched with school name of B
17341,756,Aishvarya Mavi,ऐश्वर्य मावि बान्नीगढ जयगढ अछाम,Aishwarya Mavi,"bannigadhi jayagad R.M, Bannigadhi Jayagadh Rural Municipality, Achham, Sudurpashchim Province",Matched with school name of B
21555,1103,Aitavare Avi,आइतवारे आवि संखुवासभा,Aitabare Avi,"Panchkhapan, Panchakhapan Municipality, Sankhuwasabha, Koshi Province",Matched with school name of B
12934,3112,Ajada Avi,आजाद आवि लगन काठमाडौं,Ajad Avi,"Lagan Degukhel, Kathmandu Metropolitan City, Kathmandu, Bagamati Province",Matched with school name of B
2243,3113,Ajada Mavi,आजाद मावि भक्तपुर,Ajad Mavi Vidyalaya,"Changunarayan Municipality, Changunarayan Municipality, Bhaktapur, Bagamati Province",Matched with old school name1 of B
29087,1110,Ajambari Pravi,अजम्बरी प्रावि धनकुटा,Ajambari Pravi,"yogbirang, Sahidbhumi Rural Municipality, Dhankuta, Koshi Province",Matched with school name of B
19875,761,Ajayameru Avi,अजयमेरु आवि अजयमेरु डडेल्धुरा,Ajaymeru Avi,"Rolli, Ajayameru Rural Municipality, Dadeldhura, Sudurpashchim Province",Matched with school name of B
4267,3116,Aji~Ngare Mavi,अजिङ्गरे मावि कल्याणपुर नुवाकोट,Ajingare Mavi,"Ajingare, Bidur Municipality, Nuwakot, Bagamati Province",Matched with school name of B
13144,5116,Akala Avi,अकला आवि सिलुवा पाल्पा,Akala Avi,"Tamakhani, Purbakhola Rural Municipality, Palpa, Lumbini Province",Matched with school name of B
12473,5115,Akala Avi,अकला आवि पाल्पा,Akala Avi,"Nisdi Gaunpalika, Nisdi Rural Municipality, Palpa, Lumbini Province",Matched with school name of B
293,438,Akala Avi,अकला आवि आँबुखैरेनी तनहुँँ,Akala Avi,"Pokhara bhyanjyang, Bhimad Municipality, Tanahun, Gandaki Province",Matched with school name of B
63,437,Akala Avi,अकला आवि तनहुँँ,Akala Avi,"Markichowk, Aanbookhaireni Rural Municipality, Tanahun, Gandaki Province",Matched with school name of B
1626,435,Akala Bagaimcha Avi,अकला बगैंचा आवि लमजुङ,Akala Bagaicha Avi,"Balithumbesi, Sundarbazar Municipality, Lamjung, Gandaki Province",Matched with school name of B
18140,440,Kalika Devi Avi,कालिका देवी आवि स्याङजा,Akala Devi Avi,"Madi, Chapakot Municipality, Syangja, Gandaki Province",Matched with school name of B
19886,5117,Kamaladevi Pravi,कमलादेवी प्रावि अचले पाल्पा,Akala Devi Pravi,"Nisdi Gaunpalika, Nisdi Rural Municipality, Palpa, Lumbini Province",Matched with school name of B
15843,444,Akala Pravi,अकला प्रावि देउराली गोरखा,Akala Pravi,"Yankot, Gorkha Municipality, Gorkha, Gandaki Province",Matched with school name of B
2124,443,Kalpa Pravi,कल्प प्रावि कास्की,Akala Pravi,"Pokhara Metropolitan City, Pokhara Metropolitan City, Kaski, Gandaki Province",Matched with school name of B
4723,442,Akala Pravi,अकला प्रावि लम्जुङ,Akala Pravi,"Dhodre Besi, Madhya Nepal Municipality, Lamjung, Gandaki Province",Matched with school name of B
13449,1112,Akasha Devi Pravi,आकाश देवी प्रावि खोटाङ,Akash Devi Pravi,"Thalakham, Jantedhunga Rural Municipality, Khotang, Koshi Province",Matched with school name of B
23710,3117,Akasha Dhara Panisara Pravi,आकाश धारा पानीसारा प्रावि हटिया मकवानपुर,Akash Dhara Panisara Avi,"Akashdhara, Hetauda Sub Metropolitan City, Makwanpur, Bagamati Province",Matched with old school name1 of B
9717,5120,Akhanda Avi,अखण्ड आवि जहदा नवलपरासी,Akhanda Avi,"Bardaghat, Bardaghat Municipality, Nawalparasi, Lumbini Province",Matched with school name of B
28048,764,Alakananda Mavi,अलकनन्दा मावि तिमिल्सैन अछाम,Alaknanda Mavi,"Timilsain, Bannigadhi Jayagadh Rural Municipality, Achham, Sudurpashchim Province",Matched with school name of B
984,5132,Alama Pravi,आलम प्रावि गुल्मी,Alam Avi,"Chhatrakot, Chhatrakot Rural Municipality, Gulmi, Lumbini Province",Matched with old school name1 of B
2510,5134,Alamadevi Avi,आलमदेवी आवि खिदिम अर्घाखाँची,Alam Devi Avi,"Panini-3 Khidim, Panini Rural Municipality, Arghakhanchi, Lumbini Province",Matched with school name of B
13860,5135,Alama Pravi,आलम प्रावि पाल्पा,Alam Pravi,"Bebaripokhara, Ribdikot Rural Municipality, Palpa, Lumbini Province",Matched with school name of B
15638,765,Alamkara Avi,अलंकार आवि पुनर्वास कञ्चनपुर,Alankar Avi,"Punarbas Nagarpalika, Punarbas Municipality, Kanchanpur, Sudurpashchim Province",Matched with school name of B
27151,768,Alitala Pravi,आलिताल प्रावि डडेल्धुरा,Alital Pravi,"Chanala, Aalital Rural Municipality, Dadeldhura, Sudurpashchim Province",Matched with school name of B
20897,5142,Jalpa Devi Pravi,जल्पा देवी प्रावि कसेनी पाल्पा,Alka Devi Pravi,"Begdi, Ribdikot Rural Municipality, Palpa, Lumbini Province",Matched with school name of B
26559,769,Alkapuri Mavi,अल्कापुरी मावि कोट कौतोली दार्चुला,Alkapuri Mavi Kotkautoli,"Kotkautoli, Mahakali Municipality, Darchula, Sudurpashchim Province",Matched with old school name2 of B
3762,451,Jaladevi Pravi,जलदेवी प्रावि स्याङजा,Alma Devi Pravi,"Aalamdevi, Kaligandaki Rural Municipality, Syangja, Gandaki Province",Matched with school name of B
7088,1121,Alpadevi Avi,अल्पादेवी आवि कुम्मायक पाँचथर,Alpa Devi Avi,"Kummayak, Kummayak Rural Municipality, Panchthar, Koshi Province",Matched with school name of B
27968,1126,Amaduva Pharma Avi,अमडुवा फार्म आवि वर्जु सुनसरी,Amaduwa Pharma Avi,"Faram Tole, Barju Rural Municipality, Sunsari, Koshi Province",Matched with school name of B
2752,454,Amala Bha~Nya~Na Mavi,अमला भञ्याङ मावि स्याङ्जा,Amala Bhanjyang Mavi,"Changsing, Harinas Rural Municipality, Syangja, Gandaki Province",Matched with school name of B
22696,3142,Amanta Devi Mavi,अमन्ता देवि मावि धादिङ,Amanta Devi Mavi,"Birtadanda, Galchhi Rural Municipality, Dhading, Bagamati Province",Matched with school name of B
2821,3144,Amara Adarsha Mavi,अमर आदर्श मावि धादिङ,Amar Adarasha Mavi,"Dumidanda, Siddhalek Rural Municipality, Dhading, Bagamati Province",Matched with school name of B
8719,458,Amara Avi,अमर आवि भीरकोट न पा स्याङ्जा,Amar Avi,"pakhare, Bhirkot Municipality, Syangja, Gandaki Province",Matched with school name of B
26151,461,Amara Avi,अमर आवि बाग्लुङ,Amar Avi,"Amarbhumi, Tarakhola Rural Municipality, Baglung, Gandaki Province",Matched with school name of B
4163,5151,Amara Avi,अमर आवि पाणिनी अर्घाखाँची,Amar Avi,"Panini-6 Dhatibang, Panini Rural Municipality, Arghakhanchi, Lumbini Province",Matched with school name of B
13438,5150,Amara Avi,अमर आवि पाल्पा,Amar Avi,"Rambha, Rambha Rural Municipality, Palpa, Lumbini Province",Matched with school name of B
25518,460,Ambari Avi,आम्बारी आवि बर्राचौर पर्वत,Amar Avi,"Baskot, Jaljala Rural Municipality, Parbat, Gandaki Province",Matched with school name of B
25947,457,Amara Avi,अमर आवि तनहुँ,Amar Avi,"Arkhalchhap, Rishing Rural Municipality, Tanahun, Gandaki Province",Matched with school name of B
28805,459,Amara Avi,अमर आवि वालिङ न पा स्याङजा,Amar Avi,"Waling Municipality, Waling Municipality, Syangja, Gandaki Province",Matched with school name of B
20213,5152,Amara Avi,अमर आवि मैदान अर्घाखाँची,Amar Avi,"Panini-5 Maidan, Panini Rural Municipality, Arghakhanchi, Lumbini Province",Matched with school name of B
12382,5153,Amara Bhagavati Avi,अमर भगवती आवि अर्गली पाल्पा,Amar Bhagawati Avi,"Phoshran, Tansen Municipality, Palpa, Lumbini Province",Matched with school name of B
9721,3145,Amara Jyoti Pravi,अमर ज्योति प्रावि रसुवा,Amar Jyoti Avi,"Upallo Pauwa, Uttargaya Rural Municipality, Rasuwa, Bagamati Province",Matched with old school name1 of B
21130,1130,Amarajyoti Avi,अमरज्योति आवि सुन्दरहरैचा मोरङ,Amar Jyoti Avi,"Sundarharaincha, Sundarharaincha Municipality, Morang, Koshi Province",Matched with school name of B
7830,1129,Amarajyoti Avi,अमरज्योति आवि राईगाउँ पाँचथर,Amar Jyoti Avi,"Hilihang, Hilihang Rural Municipality, Panchthar, Koshi Province",Matched with school name of B
3645,465,Amarajyoti Avi,अमरज्योति आवि दोर्दी गा पा लमजुङ,Amar Jyoti Avi,"Dordi-4 lamjung, Dordi Rural Municipality, Lamjung, Gandaki Province",Matched with school name of B
359,466,Amara Jyoti Avi,अमर ज्योति आवि व्यास तनहुँँ,Amar Jyoti Avi,"Thin,Nayagaun, Vyas Municipality, Tanahun, Gandaki Province",Matched with school name of B
2723,467,Amarajyoti Avi,अमरज्योति आवि कास्की,Amar Jyoti Avi,"Madadko Patan, Pokhara Metropolitan City, Kaski, Gandaki Province",Matched with school name of B
825,1131,Amarajyoti Avi,अमरज्योती आवि साेलुखुम्बु,Amar Jyoti Avi,"Chachalung, Mahakulung Rural Municipality, Solukhumbu, Koshi Province",Matched with school name of B
465,469,Amarajyoti Gau.Npharka Mavi,अमरज्योति गाउँफर्क मावि लेखनाथ कास्की,Amar Jyoti Gaun Pharka Mavi,"Jaldhare, Pokhara Metropolitan City, Kaski, Gandaki Province",Matched with school name of B
