school_id,location,district,modified_name_transliterated
1208,bitalab,okhaldhunga,antarrastriya yuwabarsha A vi
1209,shree antu,ilam,antu academy
1210,chulachuli,ilam,antu memorial ebs
1211,biratnagar,morang,anwarul islam madrassa
1212,necha bedghari,solukhumbu,apex academy
1213,khayarbani,udayapur,apex academy english vi
1214,dharan,sunsari,apple montessori vi
1215,"itahari-20, tarahara",sunsari,apple tree academy
1216,chhintang,dhankuta,apsani brosis english vi
1217,pathivara yangwarak 3 tiringe simbewa,taplejung,araniko A vi
1218,kamal,jhapa,araniko A vi
1219,gomansari,jhapa,araniko mA via
1220,dharan-8,sunsari,araniko memorial boarding vi dharan
1221,sunawarshi,morang,araniko memorial english vi sunwarshi morang
1222,"myanglung-2, tehrathum",tehrathum,araniko mA english boarding vi myanglung tehrathum
1223,surya nagar,jhapa,araniko mA vi
1224,kulalhadya,morang,arif husen aA vi madarasa
1225,biratnagar,morang,arihanta english boarding vi
1226,milanchok,jhapa,arjundhara academy
1227,arjundhara,jhapa,arjundhara sanskrit adarsha mA vi arjundhara
1228,arjundhara,jhapa,arjundhara sanskrit bed bidhayapith
1229,arjundhara,jhapa,arjundhara mA vi arjundhara
1230,damak,jhapa,arkit academy
1231,"arniko path, biratnagar",morang,arniko mA vi
1232,"biratnagar-4, morang",morang,arpan english vi
1233,kankai,jhapa,arpana english vi
1234,sunkoshee,okhaldhunga,arubhanjyang A vi balakhu
1235,buki,tehrathum,arubote bal bikash kendra
1236,sakrantobazar,tehrathum,arubote A vi musegaira
1237,bardanda,bhojpur,arun A vi
1238,"sisneri, machuwa",bhojpur,arun A vi
1239,batashe,sankhuwasabha,arun A vi batase
1240,saldanda,sankhuwasabha,arun A vi saldada
1241,lumsum,sankhuwasabha,arun besic vi bhotkhola
1242,gurdhanebaseri,bhojpur,arun ganga A vi
1243,chepuwa,sankhuwasabha,arun top ebs
1244,makalu rural municipality,sankhuwasabha,arun valley english vi
1245,khandbari,sankhuwasabha,arun valley international ebs
1246,"khandbari-7,",sankhuwasabha,arun valley public vi
1247,majhuwabenshi,bhojpur,arunkoshi A vi
1248,juropani,jhapa,arunodaya A vi
1249,masargaun,panchthar,arunodaya A vi
1250,panchamukhi chowk,morang,arunodaya A vi biratnagar
1251,gahate,okhaldhunga,arunodaya A vi gahate
1252,arjundhara,jhapa,arunodaya A vi arjundhara
1253,mantribadi,jhapa,arunodaya english boarding vi
1254,bhanu tole,jhapa,arunodaya english boarding vi
1255,adarsha tole,morang,arunodaya english boarding vi
1256,chyamtang,sankhuwasabha,arunodaya karmajyamu A vi
1257,aahale,ilam,arunodaya prA vi
1258,schooldanda,jhapa,arunodaya prA vi
1259,baireni,sankhuwasabha,arunodaya prA vi
1260,khuksila,bhojpur,arunodaya prA vi
1261,laxmipur,ilam,arunodaya mA boarding vi
1262,salghari,dhankuta,arunodaya mA vi
1263,bhotkhola,sankhuwasabha,arunodaya mA vi
1264,pipaldanda,bhojpur,arunodaya mA vi
1265,aarya tole,sunsari,arya A viidhalaya harinagar gautampur
1266,samtung,taplejung,asanglung A vi
1267,asari,udayapur,asari ebs
1268,birtamode,jhapa,ascent academy
1269,rakse,ilam,ashadeep english boarding vi
1270,damak,jhapa,asian academy
1271,bhadrapur,jhapa,asian star educational academy nepal
1272,shreejung,tehrathum,asine A vi
1273,shivasatakshi,jhapa,asmin memorial english boarding vi
1274,tanmuna,sunsari,asmita and abishek academy
1275,ambote,dhankuta,atalsinghadevi prA vi
1276,atharasaya,dhankuta,atharasaya mA vi
1277,chuhandanda,tehrathum,athrai ebs
1278,aatmara,dhankuta,atmara A vi
1279,pauwadungma,bhojpur,aulia taulia A vi
1280,barahakshetra municipality,sunsari,auliya mA vi
1281,monten,bhojpur,awatariraksha prA vi
1282,biratnagar- 1,morang,azalea mA boarding vi
1283,rampura,sunsari,b p saraswati prA vi
1284,miya tole,sunsari,b padharvut v harinagar
1285,duhabi,sunsari,b s model boarding vi
1286,nepaltar,ilam,bb memorial english boarding vi
1287,belbari,morang,bn educational academy
1288,inaruwa,sunsari,bp A vi
1289,galfariya khatwe tole,sunsari,bp madan A vi
1290,pokhariya,morang,baba dinabhadri A vi
1291,sata,solukhumbu,babuchiri bal kalyan prA vi
1292,shankarpur,sunsari,babuji A vi
1293,dagi basti,jhapa,baby jyoti ebs
1294,baksila,khotang,babycare boarding vi
1295,kachankawal,jhapa,babyjyoti english boarding vi
1296,birtamod,jhapa,babyland education foundation
1297,radha margh,sunsari,babylon mA boarding vi itahari
1298,rawa besi munnicipality,khotang,bachala devi A vi
1299,likhu,okhaldhunga,bad danda A vi
1300,hilihang,panchthar,bagaincha A vi
1301,phungling,taplejung,bagarbari A vi
1302,patlekhola,dhankuta,bageshwori prA vi
1303,udayapurgadhi,udayapur,bageswari A vi gohiya
1304,indrapur,morang,bagh jhoda ganatantrik prA vi
1305,hinguwa,sankhuwasabha,bagishwari A viidyalaya
1306,dhungedhara,sankhuwasabha,bagishwary mA vi dhungedhara
1307,kolbote,ilam,bagmati ebs
1308,beldangi,jhapa,baguwa prA vi
1309,ulabari,morang,bahadur baba chaudhari A vi
1310,rong,ilam,bahuban mA vi
1311,miklajung,morang,bahumukhi A vi
1312,belbari,morang,bahuni collegiate ebs
1313,jante,morang,baijanath adhikari prarambik sanskrit bhadyapith
1314,sirisedada,udayapur,baijanath baijani A vi sirisedada
1315,ekrate,khotang,baikalpik prA vi
1316,bhudisimal,jhapa,bairati A vi
1317,bajramai,dhankuta,bajramai mA vi
1318,sotang,solukhumbu,bakhapalam mA vi
1319,bakhari biratnagar,morang,bakhari A vi
1320,miklajung,morang,bakraha mA vi
1321,bakshila,ilam,bakshila A vi
1322,itahari sub-metropolitan city,sunsari,bal adarsha boarding vi
1323,pathari,morang,bal adarsha vidya mandir
1324,kummayak,panchthar,bal bahadur A vi
1325,bahubhashi tole,sunsari,bal bahubhasiya A vi
1326,chiple,sankhuwasabha,bal balika prA vi
1327,kachankawal,jhapa,bal A vi
1328,mangalibazaar,jhapa,bal bhadra janata mA vi
1329,ainselukharka,khotang,bal bidhya niketan ebs
1330,dharapani,ilam,bal bidya mandir
1331,labipur,morang,bal bidya mandir A vi
1332,purba kushaha,sunsari,bal bidya mandir ebs
1333,lokhara,morang,bal bikas A vi
1334,bhogateni phalgunnad,panchthar,bal bikas basicvi
1335,bisanpur,sunsari,bal bikas english boarding vi
1336,nindatar,jhapa,bal bikash A vi
1337,nabagaun,sankhuwasabha,bal bikash A vi
1338,samabeshi,ilam,bal bikash A vi
1339,dhadra,morang,bal bikash A vi
1340,ratuwamai,morang,bal bikash A vi
1341,pipchahi,khotang,bal bikash A vi
1342,lamichaur,sankhuwasabha,bal bikash A vi lamechaur
1343,chhulemu,solukhumbu,bal bikash prA vi
1344,laphang,khotang,bal bikash prA vi
1345,"lekhani,chanaute",udayapur,bal bikash prA vi
1346,nageshwori,sankhuwasabha,bal chetana A vi nageswary
1347,ainselukharka,khotang,bal chetana prA vi
1348,rawabesi,khotang,bal devi prA vi
1349,dangihat,morang,bal jagat english boarding vi
1350,gharelu chouk,morang,bal jyoti aadarsa vidhya sadan boarding vi
1351,kanepokhari rural municipality,morang,bal jyoti academy
1352,salayan tari,solukhumbu,bal jyoti A vi
1353,tallo koksa,sankhuwasabha,bal jyoti A vi koksa
1354,miklajung,panchthar,bal jyoti ebs
1355,kanepokhari rural municipality,morang,bal jyoti english vi
1356,sundarharicha,morang,bal jyoti namuna eng boarding vi
1357,gaidhe,jhapa,bal jyoti prA vi
1358,sera,khotang,bal jyoti prA vi
1359,lekhani,udayapur,bal jyoti prA vi
1360,kharbandi,jhapa,bal jyoti prA vi
1361,dangi,morang,bal jyoti prA vi
1362,prakashpur,jhapa,bal jyoti pratisthan ebs
1363,kerabari sambopa,dhankuta,bal kalyan prA vi
1364,kusunde,ilam,bal kalyan A vi kusunde
1365,ranegaun,sankhuwasabha,bal kalyan A viidhylaya
1366,charpane,jhapa,bal kalyan awasiya mA vi
1367,kingring,sankhuwasabha,bal kalyan A vi kingring
1368,chepti khola,ilam,bal kalyan A vi
1369,narkate,morang,bal kalyan A vi
1370,belchauri,morang,bal kalyan A vi
1371,kerabari,morang,bal kalyan A vi
1372,karkichhap,bhojpur,bal kalyan A vi
1373,timure,khotang,bal kalyan A vi
1374,singlabu,ilam,bal kalyan prA vi
1375,majhuwa basti,ilam,bal kalyan prA vi
1376,hallude bhanjyang,ilam,bal kalyan prA vi
1377,,ilam,bal kalyan prA vi
1378,teenmahine,ilam,bal kalyan prA vi
1379,simbung,sankhuwasabha,bal kalyan prA vi
1380,ghumaune,bhojpur,bal kalyan prA vi
1381,chatiwane,udayapur,bal kalyan prA vi chatiwane
1382,tinkateri,morang,bal kalyan prA vi
1383,ukhubari,bhojpur,bal kalyan prA vi
1384,balara bansi,dhankuta,bal kalyan praimary vi
1385,kerabari,dhankuta,bal kalyan primary
1386,halade,dhankuta,bal kalyan prA vi
1387,bokre,dhankuta,bal kalyan prA vi
1388,janapath tole,morang,bal kalyan vidhya mandir mA vi
1389,kochhale,khotang,bal kanya A vi
1390,kami dada,solukhumbu,bal kanya A vi
1391,majhuwa,ilam,bal kanya prA vi
1392,hoyangla,sankhuwasabha,bal kanya prA vi
1393,jimigaun,bhojpur,bal kanya prA vi
1394,sakharnam,solukhumbu,bal kanya prA vi
1395,talkharka,khotang,bal kanya prA vi
1396,baghkhor,khotang,bal kanya prA vi
1397,salleni,khotang,bal kanya prA vi
1398,chandidanda,bhojpur,bal kanya prA vi
1399,bhanumarga,panchthar,bal kiran ebs
1400,rani sainik tol,morang,bal mA vi rani
1401,jatuwa,morang,bal mA vi
1402,jimipokhari,taplejung,bal mandir A vi
1403,musekhop,ilam,bal mandir A vi
1404,shahid maidan chok,morang,bal mandir A vi
1405,chainpur mathillotole,sankhuwasabha,bal mandir A vi
1406,balmandir tole,sunsari,bal mandir mA vi
1407,hakimtole,ilam,bal mandir prA vi
1408,myanglung,tehrathum,bal mandir prA vi
1409,salleri,solukhumbu,bal mandir prA vi
1410,,khotang,bal mandir prA vi
1411,ajgara,udayapur,bal mukhi A vi
1412,namuna tol,morang,bal namuna bidya mandir english vi
1413,athbhaiya,panchthar,bal namuna prA vi
1414,tumbewa,panchthar,bal nanda A vi
1415,budhabare,morang,bal niketan ebs
1416,yakpi,ilam,bal niketan prA vi
1417,simle,tehrathum,bal nikunja A vi
1418,basbote,udayapur,bal prA vi bansbote ahaltar
1419,laxmipur,ilam,bal pragati A vi
1420,sundarharincha,morang,bal pratibha english boarding vi
1421,itahari,sunsari,bal pratibha montessori vi
1422,mechinagar,jhapa,bal pushpika montessori
1423,jhapa rural municipality,jhapa,bal sansar academy
1424,helthpost line,sunsari,bal sansar montessori vi
1425,bazar,dhankuta,bal sansar mA
1426,shivasatakshi,jhapa,bal sewa A vi
1427,katahare,bhojpur,bal shakti A vi
1428,sisnetar,panchthar,bal sikshya prA vi
1429,lisimbu,dhankuta,bal sikshya prA vi
1430,mangalbare,morang,bal srijana english boarding vi
1431,medibung,taplejung,bal subodhini sanskrit mA vi
1432,mechinagar,jhapa,bal subodhini mA vi
1433,khoktak,sankhuwasabha,bal sudha prA vi
1434,pauwadungma,bhojpur,bal sudhar panchakanya A vi
1435,patheka,khotang,bal sudhar prA vi
1436,tellok jimigaun,sankhuwasabha,bal sushil A vi
1437,gauradaha 5,jhapa,bal vidhya english vi prA vi
1438,belaka,udayapur,bal vidhya mandir english boarding vi galphadiya
1439,dahagaoon,jhapa,bala bhadra A vi
1440,maijogmai,ilam,bala guru sanskrit bidhyapith
1441,silichong,sankhuwasabha,bala mA vi
1442,silichong,sankhuwasabha,bala yamdang mA vi
1443,dhardhare,jhapa,balabhadra aA vi
1444,punatar,okhaldhunga,baladevi A vi
1445,suryodaya,ilam,balaguru gyan bigyan shikshya sadan
1446,samcha,dhankuta,balak prA vi
1447,karkale,khotang,balbalik a A vi
1448,dharmadevi municipality,sankhuwasabha,balbalika aA vi
1449,bakhare,okhaldhunga,balbalika A vi
1450,solakhani,sankhuwasabha,balbalika A vi solakhani
1451,jahada,morang,balbalika english boarding vi
1452,nauiakharka,khotang,balbalika mA vi
1453,khartuwa,sankhuwasabha,balbalika prA vi
1454,chyandanda,khotang,balbalika prA vi
1455,lamidanda,khotang,balbalika prA vi
1456,charali,jhapa,balbatika ebs
1457,biratnagar,morang,balbatika english boarding vi
1458,sawakatahare,khotang,balbatika samudaik A vi
1459,bardanga,morang,balbidya ebs
1460,siddhicharan,okhaldhunga,balbikas A vi adheri
1461,foktajung,dhankuta,balbikash prA vi
1462,chaubise-2 dhankuta,dhankuta,balbikash prA vi
1463,laphyang,khotang,balbikasha prA vi
1464,rangeli,morang,baldebdoot bidya mandir
1465,tankhu,taplejung,balden mA vi
1466,mangsebung,ilam,baldip prA vi
1467,ghunsa,solukhumbu,baleshwor mA vi
1468,bhantabari,udayapur,balhit A vi bhantabari
1469,sombare,morang,baljagaran vidhya mandir
1470,mechinagar,jhapa,baljagat sisu bikas foundation
1471,saure,dhankuta,baljanya prA vi
1472,badelpani,udayapur,baljyoti A vi
1473,kusumbot,udayapur,baljyoti A vi kusumbot
1474,salleri,sankhuwasabha,baljyoti A vi sallery
1475,thoksila,udayapur,baljyoti prA vi ghumne chauri
1476,chulachuli,ilam,baljyoti mA vi
1477,champadevi,okhaldhunga,baljyoti mA vi
1478,suryodaya municipality,ilam,balkalyan A vi
1479,debisamrat basti,jhapa,balkalyan A vi
1480,bhelamani,jhapa,balkalyan A vi
1481,miklajung,morang,balkalyan A vi
1482,miklajung,morang,balkalyan A vi
1483,pandheri,bhojpur,balkalyan A vi
1484,kolbote,ilam,balkalyan A vi kolbote
1485,shikharmadi,udayapur,balkalyan prA vi shikharmadi
1486,gauriganj,jhapa,balkalyan mA vi
1487,kirtipur,morang,balkalyan mA vi
1488,dumsikharka,okhaldhunga,balkanya A vi
1489,gope,okhaldhunga,balkanya A vi
1490,rautamai ga pa,udayapur,balkanya A vi tatne
1491,dhartung,khotang,balkanya mA via
1492,pikmire,udayapur,balkanya prA vi pikmire
1493,saune,udayapur,balkanya prA vi simle
1494,"ilam municipality - 11, soyak",ilam,balkanya mA vi
1495,fedap simle,tehrathum,balmakar sendary vi
1496,"ilam-4, jasbire, ilam",ilam,balmandal mA vi
1497,okhaldhunga,okhaldhunga,balmandir A vi
1498,triuyuga,udayapur,balmandir mA vi bokse
1499,buttabari,jhapa,balmiki ebs
1500,jagatbasti,jhapa,balmiki education foundation ebs
1501,buddha chowk,morang,balmiki memorial boarding mA vi
1502,salbote,sunsari,balmiki prA vi
1503,biratnagar,morang,balmiki mA english boarding vi
1504,buddhashanti,jhapa,balmiki sikshya sadan
1505,puwamajhuwa,ilam,balmiki singh devi A vi
1506,aanptari,jhapa,balnikunja mA vi
1507,khutta,khotang,balodaya A vi
1508,mathillo sanne,dhankuta,balpancha mA vi
1509,sundarharincha,morang,balsadan academy
1510,kanepokhari rural municipality,morang,balsansar english boarding vi
1511,ramdhuni,sunsari,balsansar montessori
1512,jagatbasti,jhapa,balsansar A vi
1513,majhitar,bhojpur,balsansari A vi
1514,malbanse,khotang,balsewa A vi
1515,mauwa,panchthar,balsikhar prA vi
1516,biratnagar 3,morang,balsudhar greeha mA vi
1517,phungling,taplejung,ban jogara A vi
1518,phakphokthum,ilam,banasthali boarding vi
1519,sorabhag,morang,banasthali ebs
1520,musahari tole,sunsari,banaswor A vi
1521,bakhre,okhaldhunga,bandanasinghadevi A vi
1522,shukrabare,sunsari,bandelal english vi
1523,chainpur,sankhuwasabha,baneshwor A vi
1524,dangaligaun,sankhuwasabha,baneswor A vi
1525,lohakot,sankhuwasabha,bani bilash mA vi
1526,kamal 6,jhapa,bani mA vi
1527,sidhraha,morang,bani mA vi
1528,shikharkateri,ilam,banjho gau mA vi
1529,angedim,taplejung,bar danda A vi
1530,barabise,panchthar,barabise prA vi
1531,shahichhap,khotang,baraha A vi
1532,rumdu,khotang,baraha magargau A vi
1533,barahakshetra,sunsari,baraha memorial english vi
1534,barahakshetra,sunsari,baraha montessori
1535,chaubise,dhankuta,baraha prA vi
1536,jagrit chowk  bayarban,sunsari,baraha rising star english vi
1537,tamrang,dhankuta,barahalaxmi mA vi
1538,mangsebung,ilam,barbhanjyang A vi
1539,gairigaun,okhaldhunga,barbhanjyang A vi
1540,barbot,solukhumbu,barbot A vi
1541,solududhakunda municipality,solukhumbu,barbot A vi
1542,okhre,ilam,barbote A vi
1543,barbote,ilam,barbote english boarding vi
1544,balui,khotang,bargachhi prA vi
1545,randalaun,dhankuta,bargachhi prA vi
1546,barju,sunsari,barju lake ideal vi
1547,dangsingtar,okhaldhunga,barnadevi A vi
1548,triyuga municipality,udayapur,barsha rani academy english boarding vi jaljale udayapur
1549,bhotkho]a,sankhuwasabha,barun A vi
1550,simle,sankhuwasabha,barun A vi
1551,rampur,okhaldhunga,barun educational academy
1552,khandbari,sankhuwasabha,barun mA english vi bidaichautara
1553,pathibhara,sankhuwasabha,barun valley ebs
1554,rampur,okhaldhunga,baruneshwar mA vi
1555,rapcha,solukhumbu,basakhali mA vi
1556,basantapur,tehrathum,basanta mA vi
1557,samatung,khotang,basanta panchami prA vi
1558,jhakuwatoli,jhapa,basanta prA vi
1559,suntalabari,khotang,basanta prA vi
1560,basantapur,tehrathum,basanta sadan english boarding vi
1561,dhikjhoda,sunsari,basantaritu mA vi
1562,basbari,jhapa,basbari mA vi
1563,dandagaun,okhaldhunga,baseri A vi
1564,udayapur,udayapur,basic level vi rakche
1565,larikatta,morang,A vi
1566,khanbu,udayapur,A vi kuvinde
1567,rautamai,udayapur,A vi yamutar punwarebhanjyang
1568,bengri,udayapur,A vi bangri
1569,katari,udayapur,A vi chilaunei
1570,gadanta,udayapur,A vi gadanta
1571,rautamai,udayapur,A vi jarange
1572,arjundhara,jhapa,A vi kanchanbari arjundhara
1573,keureni,udayapur,A vi keureni
1574,kumal,morang,A vi kumal pati
