school_id,Potential_School_Name,Potential_School_Name_transliterated,Potential_District_Name,Potential_District_Name_transliterated,Matched_District_Name,Assigned_District_Name
148,सुम्बेक नि मा विा वि,sumbeka ni mA viA vi,इलाम,ilama,ilama,ilama
149,सिद्देश्वरी प्रा वि,siddeshvarI prA vi,इलाम,ilama,ilama,ilama
150,आदर्श आ वि,Adarsha A vi,इलाम,ilama,ilama,ilama
151,नारायणी नमूना मा वि,nArAyaNI namUnA mA vi,चितवन,chitavana,chitavana,chitavana
152,जन शिशु कल्याण आ वि,jana shishu kalyANa A vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
153,जनप्रभात मा वि,janaprabhAta mA vi,काठमाडौं,kathamadaum,kathamadaum,kathamadaum
154,पुवामाई प्रा वि,puvAmAI prA vi,इलाम,ilama,ilama,ilama
155,नन्द मा वि,nanda mA vi,इलाम,ilama,ilama,ilama
156,बुद्ध आर्दश उ मा वि,buddha Ardasha u mA vi,झापा,jhapa,jhapa,jhapa
157,वरचुली मा वि,varachulI mA vi,नवलपरासी,navalaparasi,purva navalaparasi,purva navalaparasi
158,महादेव प्रा वि,mahAdeva prA vi,इलाम,ilama,ilama,ilama
159,नर प्रा वि,nara prA vi,इलाम,ilama,ilama,ilama
160,हात्तीटार आ वि,hAttITAra A vi,इलाम,ilama,ilama,ilama
161,लक्ष्मी विद्या भवन आ वि,lakShmI vidyA bhavana A vi,इलाम,ilama,ilama,ilama
162,नेपाल ज्योती आ वि,nepAla jyotI A vi,इलाम,ilama,ilama,ilama
163,गजुरमुखी आ वि,gajuramukhI A vi,इलाम,ilama,ilama,ilama
164,ज्ञानोदय प्रा वि,j~nAnodaya prA vi,इलाम,ilama,ilama,ilama
165,सरस्वती प्रा वि,sarasvatI prA vi,इलाम,ilama,ilama,ilama
166,जनता प्रा वि,janatA prA vi,इलाम,ilama,ilama,ilama
167,सिद्धार्थ आ वि,siddhArtha A vi,इलाम,ilama,ilama,ilama
168,राष्ट्रिय आ वि,rAShTriya A vi,इलाम,ilama,ilama,ilama
169,हमालय नि मा विा वि,hamAlaya ni mA viA vi,इलाम,ilama,ilama,ilama
170,पूर्णस्मारक मा वि,pUrNasmAraka mA vi,इलाम,ilama,ilama,ilama
171,जनकल्याण प्रा वि,janakalyANa prA vi,इलाम,ilama,ilama,ilama
172,सरस्वती उ मा वि,sarasvatI u mA vi,इलाम,ilama,ilama,ilama
173,राष्टप्रेमी उ मा वि,rAShTapremI u mA vi,इलाम,ilama,ilama,ilama
174,वालकन्या नि मा विा वि,vAlakanyA ni mA viA vi,इलाम,ilama,ilama,ilama
175,युवावर्ष प्रा वि,yuvAvarSha prA vi,इलाम,ilama,ilama,ilama
176,त्रिभुवन प्रा विपञ्चकन्या इलाम,tribhuvana prA vipa~nchakanyA ilAma,इलाम,ilama,ilama,ilama
177,अमर ज्योती आ वि,amara jyotI A vi,इलाम,ilama,ilama,ilama
178,महेश्वरा नि मा विा वि,maheshvarA ni mA viA vi,इलाम,ilama,ilama,ilama
179,देउमाई आ वि,deumAI A vi,ईलाम,ilama,ilama,ilama
180,सूर्योदय आ वि,sUryodaya A vi,इलाम,ilama,ilama,ilama
181,बाल कल्याण आ वि,bAla kalyANa A vi,इलाम,ilama,ilama,ilama
182,जाल्पा प्रा वि,jAlpA prA vi,इलाम,ilama,ilama,ilama
183,नारायण आ वि,nArAyaNa A vi,इलाम,ilama,ilama,ilama
184,सरस्वती प्रा वि,sarasvatI prA vi,इलाम,ilama,ilama,ilama
185,भगवती आ वि,bhagavatI A vi,इलाम,ilama,ilama,ilama
186,जालपा नि मा विा वि,jAlapA ni mA viA vi,इलाम,ilama,ilama,ilama
187,कमल देवी आ वि,kamala devI A vi,इलाम,ilama,ilama,ilama
188,फलाटे मा वि,phalATe mA vi,इलाम,ilama,ilama,ilama
189,वालमण्डल उ मा वि,vAlamaNDala u mA vi,इलाम,ilama,ilama,ilama
190,वाल्मिकी सिंहदेवी आ वि,vAlmikI siMhadevI A vi,इलाम,ilama,ilama,ilama
191,जनता मा वि,janatA mA vi,इलाम,ilama,ilama,ilama
192,थोकफेला प्रा वि,thokaphelA prA vi,इलाम,ilama,ilama,ilama
193,नारायण जन मा वि,nArAyaNa jana mA vi,काठमाडौं,kathamadaum,kathamadaum,kathamadaum
194,विणापाणी मा वि,viNApANI mA vi,इलाम,ilama,ilama,ilama
195,बाँझोगाउँ मा वि,bA.NjhogAu.N mA vi,इलाम,ilama,ilama,ilama
196,सिद्ध देवी प्रा वि,siddha devI prA vi,इलाम,ilama,ilama,ilama
197,सिद्धदेउमाई नि मा विा वि,siddhadeumAI ni mA viA vi,इलाम,ilama,ilama,ilama
198,डम्बर देवी मा वि,Dambara devI mA vi,इलाम,ilama,ilama,ilama
199,माहेन्द्र मा वि,mAhendra mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
200,नारायण्ाचौर प्रा वि,nArAyaNAchaura prA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
201,सल्लेरी प्रा वि,sallerI prA vi,इलाम,ilama,ilama,ilama
202,जनता प्रा वि,janatA prA vi,इलाम,ilama,ilama,ilama
203,सिंहदेवी मा वि,siMhadevI mA vi,इलाम,ilama,ilama,ilama
204,भृकुटी मा वि,bhRRikuTI mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
205,जनसहयोगी मा वि,janasahayogI mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
206,दुल्लभ मा वि,dullabha mA vi,गोरखा,gorakha,gorakha,gorakha
207,जीवन ज्योति मा वि,jIvana jyoti mA vi,गोरखा,gorakha,gorakha,gorakha
208,हिरामणि आ वि,hirAmaNi A vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
209,चिसोपानी मा वि,chisopAnI mA vi,इलाम,ilama,ilama,ilama
210,जनता जायसवाल मा वि,janatA jAyasavAla mA vi,धनुषा,dhanusha,dhanusha,dhanusha
211,मा वि,mA vi,धनुषा,dhanusha,dhanusha,dhanusha
212,बुद्धशान्ति मा वि,buddhashAnti mA vi,चितवन,chitavana,chitavana,chitavana
213,बशाहास्थान मा वि,bashAhAsthAna mA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
214,आनन्दज्योति मा वि,Anandajyoti mA vi,कास्की,kaski,kaski,kaski
215,लक्ष्मी नि मा विा वि,lakShmI ni mA viA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
216,गोरख आ वि,gorakha A vi,इलाम,ilama,ilama,ilama
217,सिंहआदर्श प्रा वि,siMhaAdarsha prA vi,इलाम,ilama,ilama,ilama
218,प्याङ्ग मा वि,pyA~Nga mA vi,इलाम,ilama,ilama,ilama
219,ज्योति प्रा वि,jyoti prA vi,इलाम,ilama,ilama,ilama
220,माहेन्द्री उ मा वि,mAhendrI u mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
221,अन्नपूर्ण मा वि,annapUrNa mA vi,गोरखा,gorakha,gorakha,gorakha
222,अमरकल्याण मा वि,amarakalyANa mA vi,इलाम,ilama,ilama,ilama
223,कपिया उ मा वि,kapiyA u mA vi,चितवन,chitavana,chitavana,chitavana
224,रत्नराज्य मा वि,ratnarAjya mA vi,काठमाडौं,kathamadaum,kathamadaum,kathamadaum
225,निरनजना प्रा वि,niranajanA prA vi,वि,vi,doti,doti
226,बिरेन्द्र उ मा वि,birendra u mA vi,नुवाकोट,nuvakota,nuvakota,nuvakota
227,अमृत आ वि,amRRita A vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
228,शान्तिपुर मा वि,shAntipura mA vi,इलाम,ilama,ilama,ilama
229,कैलाश प्रा वि,kailAsha prA vi,इलाम,ilama,ilama,ilama
230,चण्िडका प्रा वि,chaNiDakA prA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
231,इन्द्रदेवी नि मा विा वि,indradevI ni mA viA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
232,रा प्रा वि,rA prA vi,चितवन,chitavana,chitavana,chitavana
233,कालिगंगा मा वि,kAligaMgA mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
234,अरुणोदय आ वि,aruNodaya A vi,इलाम,ilama,ilama,ilama
235,बालकेश मा वि,bAlakesha mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
236,नारायण प्रा वि,nArAyaNa prA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
237,अमर प्रा वि,amara prA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
238,भिमसुन आ वि,bhimasuna A vi,इलाम,ilama,ilama,ilama
239,शिवमाई मा वि,shivamAI mA vi,इलाम,ilama,ilama,ilama
240,गुरुङगाउं प्रा वि,guru~NagAuM prA vi,इलाम,ilama,ilama,ilama
241,कन्काई मा वि,kankAI mA vi,इलाम,ilama,ilama,ilama
242,लालीगुराँस प्रा वि,lAlIgurA.Nsa prA vi,खोटाङ,khota~na,khota~na,khota~na
243,कमल प्रा वि,kamala prA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
244,कृष्णालय आ वि,kRRiShNAlaya A vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
245,प्रबोध मा वि,prabodha mA vi,इलाम,ilama,ilama,ilama
246,जनज्योती आ वि,janajyotI A vi,खोटाङ,khota~na,khota~na,khota~na
247,कामधेनु मा वि,kAmadhenu mA vi,काठमाडौं,kathamadaum,kathamadaum,kathamadaum
248,आ वि,A vi,धनुषा,dhanusha,dhanusha,dhanusha
249,गोर्खा कालिका आ वि,gorkhA kAlikA A vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
250,कालिका आ वि,kAlikA A vi,चितवन,chitavana,chitavana,chitavana
251,पार्वती आ वि,pArvatI A vi,खोटाङ,khota~na,khota~na,khota~na
252,मा वि,mA vi,विधालय,vidhalaya,ilama,ilama
253,आदर्श शिक्षा मा वि,Adarsha shikShA mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
254,चन्र्दोदय प्रा वि,chanrdodaya prA vi,तनहुँ,tanahu.n,tanahu.n,tanahu.n
255,पृथ्वी उ मा वि,pRRithvI u mA vi,खोटाङ,khota~na,khota~na,khota~na
256,महेन्द्रोदय मा वि,mahendrodaya mA vi,खोटाङ,khota~na,khota~na,khota~na
257,सरस्वती नि मा विा वि,sarasvatI ni mA viA vi,खोटाङ,khota~na,khota~na,khota~na
258,जन विकास प्रा वि,jana vikAsa prA vi,खोटाङ,khota~na,khota~na,khota~na
260,बौद्ध आ वि,bauddha A vi,खोटाङ,khota~na,khota~na,khota~na
261,देउराली उ मा वि,deurAlI u mA vi,खोटाङ,khota~na,khota~na,khota~na
262,जनता मा वि,janatA mA vi,सिरहा,siraha,siraha,siraha
263,सरस्वती प्रा वि,sarasvatI prA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
264,शान्ति प्रा वि,shAnti prA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
265,कृष्ण उ मा वि,kRRiShNa u mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
266,जन कल्याण्ा प्रा वि,jana kalyANA prA vi,मनाङ,mana~na,mana~na,mana~na
267,घाटवेशी आ वि,ghATaveshI A vi,गोरखा,gorakha,gorakha,gorakha
268,शिखर ज्योति प्रा वि,shikhara jyoti prA vi,गोरखा,gorakha,gorakha,gorakha
269,चण्डिका आ वि,chaNDikA A vi,गाेरखा,gaerakha,gorakha,gorakha
270,अमर नि मा विा वि,amara ni mA viA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
271,शंकर प्रा वि,shaMkara prA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
272,नयाँ ज्योति प्रा वि,nayA.N jyoti prA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
273,जलदेवी मा वि,jaladevI mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
274,पेलुङ प्रा वि,pelu~Na prA vi,खोटाङ,khota~na,khota~na,khota~na
275,जनता मा वि,janatA mA vi,खाेटाङ,khaeta~na,khota~na,khota~na
276,महेन्द्र ज्योती मा वि,mahendra jyotI mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
277,चण्डी निकेतन प्रा वि,chaNDI niketana prA vi,खोटाङ,khota~na,khota~na,khota~na
278,सासु निकेतन प्रा वि,sAsu niketana prA vi,खोटाङ,khota~na,khota~na,khota~na
279,नव ज्योति प्रा वि,nava jyoti prA vi,वि,vi,doti,doti
280,महेन्द्र मा वि,mahendra mA vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
281,जलदेवी आ वि,jaladevI A vi,नवलपरासी,navalaparasi,purva navalaparasi,purva navalaparasi
282,रत्न ज्योती आ वि,ratna jyotI A vi,तनहुँँ,tanahu.n.n,tanahu.n,tanahu.n
283,विजया प्रा वि,vijayA prA vi,खोटाङ,khota~na,khota~na,khota~na
284,जनता आ वि,janatA A vi,सिरहा,siraha,siraha,siraha
