school_id_A,school_id_B,Potential_School_Name_transliterated,modified_name_transliterated,district,district_A,Fuzzy_match_score,Match_Type
403,4412,vasanta a vi,basanta a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
404,41464,harpanakota ma vi,harpankot ma vi,kaski,kaski,3.0,"District: complete, School level: complete, Root name: complete"
405,4990,deurali pra vi,deurali pra vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
411,4744,buddha pra vi,buddha pra vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
431,4219,bala vikasa ma vi,bal bikas ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
413,42082,kalika a vi,kalika a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
414,43202,rameshvari ma vi,rameshwori ma vi,kaski,kaski,3.0,"District: complete, School level: complete, Root name: complete"
415,42958,pa~nchakanya a vi,pancha kanya a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
416,41343,gogana ma vi,gogan ma vi,kaski,kaski,3.0,"District: complete, School level: complete, Root name: complete"
418,43002,pasale a vi,pasale a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
420,43400,sarasvati a vi,saraswati a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
423,42131,kalika ma vi,kalika ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
425,42102,kalika ma vi,kalika ma vi,kaski,kaski,3.0,"District: complete, School level: complete, Root name: complete"
387,4529,bhashkara pra vi,bhaskar pra vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
386,43577,shahida gamga ma vi,shahid ganga ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
384,4806,chandi devi a vi,chandi devi a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
383,42907,nirmala ma vi,nirmal ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
354,4657,vindhyavasini ma vi,bindyabasini ma vi,kaski,kaski,3.0,"District: complete, School level: complete, Root name: complete"
355,33805,bhimanagara ma vi,ma vi brahmanagar,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
356,3337,bachauli ma vi,bachhauli ma vi,chitwan,chitwan,3.0,"District: complete, School level: complete, Root name: complete"
357,4508,bha.ngeri a vi,bhangeri a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
359,466,amara jyoti a vi,amar jyoti a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
360,41510,himalaya ma vi,himalaya ma vi,gorkha,gorkha,3.0,"District: complete, School level: complete, Root name: complete"
367,44147,shukra a vi,shukla a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
368,44171,siddha a vi,siddha a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
369,42112,kalika pra vi,kalika pra vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
372,4489,bhairava a vi,bhairab a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
373,41687,janajagrriti pra vi,jana jagriti pra vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
375,43549,satyavati ma vi,satyawati ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
376,7552,bhavani rashtriya ma vi,bhawani rastriya ma vi,kailali,kailali,3.0,"District: complete, School level: complete, Root name: complete"
377,41237,galkota ma vi,galkot ma vi,syangja,syangja,3.0,"District: complete, School level: complete, Root name: complete"
378,4397,barahi pra vi,barahi pra vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
380,43448,sarasvati ma vi,saraswati ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
382,42992,parvati ma vi,parbati ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
426,4813,chandi pra vi,chandi pra vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
435,479,amarajyoti ma vi,amar jyoti ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
516,13721,mahendrodaya a vi,mahendra a vi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
483,32679,janajagrriti j~nana rashmi ma vi,jana jagriti gyan rashmi ma vi,kathmandu,kathmandu,3.0,"District: complete, School level: complete, Root name: complete"
472,42207,khaireni ma vi,khaireni ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
474,42628,masrya~ngadi a vi,marsyangdi a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
475,43578,shahida krrishna ma vi,shahid krishna ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
476,4518,bhanu ma vi,bhanu ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
478,43173,rajapura ma vi,rajpur ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
479,42102,kalika ma vi,kalika ma vi,kaski,kaski,3.0,"District: complete, School level: complete, Root name: complete"
480,43169,rajasthala pra vi,rajasthal pra vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
482,42536,maheshvari ma vi,maheshwori ma vi,kaski,kaski,3.0,"District: complete, School level: complete, Root name: complete"
484,4807,chandi debi pra vi,chandi devi pra vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
437,41616,jala devi ma vi,jaldevi ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
485,43257,ratna rajya lakshmi kanya a vi,ratna rajya laxmi kanya a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
486,44376,suryodaya a vi,suryodaya a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
488,4542,bhavanikalika ma vi,bhawani kalika ma vi,kaski,kaski,3.0,"District: complete, School level: complete, Root name: complete"
491,4119,a.ndi barahi a vi,andhi barahi a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
495,52792,krrishna a vi,krishna a vi,rolpa,rolpa,3.0,"District: complete, School level: complete, Root name: complete"
501,63610,tribhuvana jana ma vi,tribhuvan jan ma vi,salyan,salyan,3.0,"District: complete, School level: complete, Root name: complete"
508,53987,nepala rashtiya ma vi,nepal rastriya ma vi,bardiya,bardiya,3.0,"District: complete, School level: complete, Root name: complete"
514,15519,sarasvati pra vi,saraswati pra vi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
471,4877,chabdi ma vi,chhabdi ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
466,42338,lakshmi adarsha u ma vi,laxmi adarsha ma vi,kaski,kaski,3.0,"District: complete, School level: complete, Root name: complete"
465,469,amarajyoti gau.npharka ma vi,amar jyoti gaun pharka ma vi,kaski,kaski,3.0,"District: complete, School level: complete, Root name: complete"
464,44414,talabesi ma vi,talvesi ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
439,42955,pa~nchajyoti pra vi,pancha jyoti pra vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
440,43578,shahida krrishna ma vi,shahid krishna ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
441,41500,himalaya ma vi,himalaya ma vi,kaski,kaski,3.0,"District: complete, School level: complete, Root name: complete"
443,51292,dipendra a vi,dipendra a vi,nawalparasi,nawalparasi,3.0,"District: complete, School level: complete, Root name: complete"
446,41884,janapremi ma vi,janapremi ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
447,4175,arunodaya pra vi,arunodaya pra vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
449,41302,gau.npharkodaya ma vi,gaunpharkodaya ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
450,37596,udaya a vi,udaya a vi,bhaktapur,bhaktapur,3.0,"District: complete, School level: complete, Root name: complete"
452,43225,rashtiya a vi,rastriya a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
453,41598,jaladevi a vi,jal devi a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
454,43190,ramashaha ma vi,ram shah ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
455,41867,janakalyana ma vi,janakalyan ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
456,42474,mahadevasthana a vi,mahadev sthan a vi,gorkha,gorkha,3.0,"District: complete, School level: complete, Root name: complete"
458,4400,varahi ma vi,barahi ma vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
461,4791,chandeshvari a vi,chandeshwori a vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
462,43604,shanti varsha pra vi,shanti barsa pra vi,tanahun,tanahun,3.0,"District: complete, School level: complete, Root name: complete"
463,42805,navajyoti pra vi,nawa jyoti pra vi,kaski,kaski,3.0,"District: complete, School level: complete, Root name: complete"
655,41044,dhana gaujyoti ma vi,dhan gau jyoti ma vi,baglung,baglung,3.0,"District: complete, School level: complete, Root name: complete"
657,43699,shiva ma vi,shiva ma vi,parbat,parbat,3.0,"District: complete, School level: complete, Root name: complete"
659,42728,namuna a vi,namuna a vi,mustang,mustang,3.0,"District: complete, School level: complete, Root name: complete"
897,12435,janasahayoga ma vi,jana sahayog ma vi,sunsari,sunsari,3.0,"District: complete, School level: complete, Root name: complete"
883,117,amagachi pra vi,aamgachhi pra vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
884,16545,shukraraja a vi,shukraraj a vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
887,1711,bhanu ma vi,bhanu ma vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
888,13915,mechi janasadharana ma vi,mechi janasadharan ma vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
889,12680,janata ma vi,janata ma vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
890,15392,sarasvati ma vi,saraswati ma vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
895,13259,krrishna a vi,krishna a vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
896,15735,shanti adarsha ma vi,shanti adarsha ma vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
902,73238,punyodaya pra vi,punyodaya pra vi,doti,doti,3.0,"District: complete, School level: complete, Root name: complete"
925,11653,garuva a vi,garuwa a vi,ilam,ilam,3.0,"District: complete, School level: complete, Root name: complete"
903,1280,auliya ma vi,auliya ma vi,sunsari,sunsari,3.0,"District: complete, School level: complete, Root name: complete"
905,11393,phulabari ma vi,dhulabari ma vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
906,71107,durga pra vi,durga pra vi,doti,doti,3.0,"District: complete, School level: complete, Root name: complete"
908,7723,vishnu ma vi,bishnu ma vi,doti,doti,3.0,"District: complete, School level: complete, Root name: complete"
912,72057,kalika sarbajanika pra vi,kalika sarbajanik pra vi,doti,doti,3.0,"District: complete, School level: complete, Root name: complete"
914,17189,taravari a vi,tarabari a vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
915,14628,pashupati pra vi,pashupati pra vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
916,15392,sarasvati ma vi,saraswati ma vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
882,16574,simhadevi a vi,siddha devi a vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
881,11594,gadigau.n ma vi,gadhi gaun ma vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
880,12375,janajyoti pra vi,jana jyoti pra vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
879,1711,bhanu u ma vi,bhanu ma vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
822,17092,suntale a vi,suntale a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
823,15752,shanti ma vi,shanti ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
824,15752,shanti u ma vi,shanti ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
825,1131,amarajyoti a vi,amar jyoti a vi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
827,13754,mahendra tara a vi,mahendra tara a vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
828,16360,shanti niketana minakarna ma vi,shree santiniketan minakarn ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
834,3450,bala vinayaka a vi,bal binayak a vi,bhaktapur,bhaktapur,3.0,"District: complete, School level: complete, Root name: complete"
837,15162,sagaramatha a vi,sagarmatha a vi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
839,12339,janajagarana mahakunda a vi,jana jagaran mahakunda a vi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
843,13169,kedara ma vi,kedar ma vi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
844,13639,mahakulu pra vi,maha kulung pra vi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
846,12409,janakalyana pra vi,jana kalyan pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
854,12437,janasaksharata pra vi,jana sakshyarta pra vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
861,14753,pipalada.nda devi sthana ma vi,pipal danda devisthan ma vi,khotang,khotang,3.0,"District: complete, School level: complete, Root name: complete"
862,5467,balamandira a vi,bal mandir a vi,rolpa,rolpa,3.0,"District: complete, School level: complete, Root name: complete"
873,14754,pipalabota a vi,pipalbot a vi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
877,14578,pagini ma vi,panini ma vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
917,31930,ganesha pra vi,ganesh pra vi,kathmandu,kathmandu,3.0,"District: complete, School level: complete, Root name: complete"
926,12498,janaka ma vi,janak ma vi,sunsari,sunsari,3.0,"District: complete, School level: complete, Root name: complete"
662,41461,hari ma vi,hari ma vi,baglung,baglung,3.0,"District: complete, School level: complete, Root name: complete"
985,52024,janajyoti a vi,jana jyoti a vi,gulmi,gulmi,3.0,"District: complete, School level: complete, Root name: complete"
970,55010,sarvodaya a vi,sarbodaya a vi,arghakhanchi,arghakhanchi,3.0,"District: complete, School level: complete, Root name: complete"
971,72820,nava prabhata a vi,nab prabhat a vi,doti,doti,3.0,"District: complete, School level: complete, Root name: complete"
976,54969,sarasvati u ma vi,saraswati ma vi,arghakhanchi,arghakhanchi,3.0,"District: complete, School level: complete, Root name: complete"
977,54748,sainika pra vi,sainik pra vi,gulmi,gulmi,3.0,"District: complete, School level: complete, Root name: complete"
978,5698,bhagavati ma vi,bhagawati ma vi,gulmi,gulmi,3.0,"District: complete, School level: complete, Root name: complete"
979,53564,mahendranagara ma vi,mahendranagar ma vi,rupandehi,rupandehi,3.0,"District: complete, School level: complete, Root name: complete"
981,13490,ma vi,ma vi,sunsari,sunsari,3.0,"District: complete, School level: complete, Root name: complete"
983,52760,kolda.nda a vi,kol danda a vi,gulmi,gulmi,3.0,"District: complete, School level: complete, Root name: complete"
988,33514,kitini ma vi,kitini ma vi,lalitpur,lalitpur,3.0,"District: complete, School level: complete, Root name: complete"
927,13743,mahendra ratna ma vi,mahendra ratna ma vi,jhapa,jhapa,3.0,"District: complete, School level: complete, Root name: complete"
993,56285,tribhuvana ma vi,tribhuwan ma vi,gulmi,gulmi,3.0,"District: complete, School level: complete, Root name: complete"
995,5437,balakalyana pra vi,bal kalyan pra vi,gulmi,gulmi,3.0,"District: complete, School level: complete, Root name: complete"
997,36145,shramajita kishora ma vi,shram jeet kishor ma vi,lalitpur,lalitpur,3.0,"District: complete, School level: complete, Root name: complete"
998,33819,madana smaraka ma vi,madan smarak uchha ma vi,lalitpur,lalitpur,3.0,"District: complete, School level: complete, Root name: complete"
999,33914,mahalakshmi ma vi,mahalaxmi ma vi,lalitpur,lalitpur,3.0,"District: complete, School level: complete, Root name: complete"
1000,12427,janapriya ma vi,jana priya ma vi,solukhumbu,solukhumbu,3.0,"District: complete, School level: complete, Root name: complete"
1001,1625,bhagavati a vi,bhagawati a vi,sunsari,sunsari,3.0,"District: complete, School level: complete, Root name: complete"
1003,14957,ramajanaki a vi,ram janaki a vi,sunsari,sunsari,3.0,"District: complete, School level: complete, Root name: complete"
969,52010,janajagrriti pra vi,jana jagriti pra vi,gulmi,gulmi,3.0,"District: complete, School level: complete, Root name: complete"
968,54918,sarasvati pra vi,saraswati pra vi,gulmi,gulmi,3.0,"District: complete, School level: complete, Root name: complete"
966,53787,iyala pokhari ma vi,myalpokhari ma vi,gulmi,gulmi,3.0,"District: complete, School level: complete, Root name: complete"
964,52707,khadga a vi,khadga a vi,gulmi,gulmi,3.0,"District: complete, School level: complete, Root name: complete"
930,179,a vi,a vi,sunsari,sunsari,3.0,"District: complete, School level: complete, Root name: complete"
931,179,a vi,a vi,sunsari,sunsari,3.0,"District: complete, School level: complete, Root name: complete"
933,72721,mapatamandau pra vi,mastamandu pra vi,doti,doti,3.0,"District: complete, School level: complete, Root name: complete"
