	Unnamed: 0.1	Unnamed: 0	School_level_transliterated	School_name_transliterated	Potential_district_transliterated	Location_1_transliterated	Matched_District	district_id_x	district_id_y	root_school_name
32	32	32	1	jagrriti	bhaktapura		bhaktapur	24	24	adarsha
33	33	33	0	nirmala	tanahu.n		tanahun	46	46	adarsha
34	34	34	0	annapurna	tanahu.n.n		tanahun	46	46	adarsha
35	35	35	2	simha jaleshvari	bhojapura	tivaribha~njya~na	bhojpur	1	1	adarsha
36	36	36	1	sa~ngarumba	ilama	sa~ngarumba	ilam	3	3	adarsha
37	37	37	1	jivanajyoti	ilama		ilam	3	3	adarsha
38	38	38	0	sitala devi	bhojapura	tivari bha~nja~na	bhojpur	1	1	adarsha balika
39	39	39	3	simhadevi	ilama		ilam	3	3	adarsha a
40	40	40	3	vijaya	ilama	amachoka	ilam	3	3	adarsha
41	41	41	1	kalika	bhojapura	helaucha	bhojpur	1	1	adarsha
42	42	42	3	avi	siraha	kattitola lagadi gadiyani	siraha	19	19	adarsha
43	43	43	0	jharagau	tanahu.n		tanahun	46	46	adarsha
44	44	44	0	jyoti	bhojapura		bhojpur	1	1	adarsha
45	45	45	0	jyati	bhojapura	thulodamma	bhojpur	1	1	adarsha
46	46	46	0	timma	bhojapura		bhojpur	1	1	adarsha  chhathar tehrathum
47	47	47	3	pa~nchakanya	bhojapura	yaku katti	bhojpur	1	1	adarsha
48	48	48	1	vani	mora~na	sidharaha	morang	6	6	adarsha buddha
49	49	49	0	chimkeshvari	tanahu.n		tanahun	46	46	adarsha buddha
50	50	50	2	chimkeshvari	tanahu.n		tanahun	46	46	adarsha ebs
51	51	51	2	rashtiya	ilama	soya~na	ilam	3	3	adarsha ebs
52	52	52	0	kiramteshvara	ilama		ilam	3	3	adarsha janata
53	53	53	3	jalakanya	ilama	phakaphokathuma ga pa	ilam	3	3	adarsha
54	54	54	2	adaraniya	ilama		ilam	3	3	adarsha
55	55	55	0	janakalyana	ilama	dokanada.nda	ilam	3	3	adarsha
56	56	56	2	millachoka	ilama		ilam	3	3	adarsha milan
57	57	57	0	janakalyana	bhojapura	amteka	bhojpur	1	1	adarsha namuna ebs
58	58	58	0	shikshakshamakanya	bhojapura		bhojpur	1	1	adarsha niketen ebs
59	59	59	1	balamiteri	bhojapura		bhojpur	1	1	adarsha
60	60	60	0	krrishna	mora~na	leta~na	morang	6	6	adarsha
61	61	61	3	akala	tanahu.n.n		tanahun	46	46	adarsha
62	62	62	1	shri	chitavana	lamku bahghare	chitwan	29	29	adarsha
63	63	63	2	khartancha	bhojapura		bhojpur	1	1	adarsha
64	64	64	0	dhapakharka	bhojapura		bhojpur	1	1	adarsha
65	65	65	0	pa~nchakanya	bhojapura	pauvadu~nama ga pa	bhojpur	1	1	adarsha ma bidya mandir ratmate pathakgaun
66	66	66	0	amara jyoti	tanahu.n.n	kyamunada.nda jhirubasa	tanahun	46	46	adarsha
67	67	67	3	jana kalyana	ilama	lakshmipura	ilam	3	3	adarsha
68	68	68	0	vidyadhari	bhojapura	ramaprasadarai ga pa	bhojpur	1	1	adarsha
69	69	69	1	devithana	bhojapura	amteka	bhojpur	1	1	adarsha
70	70	70	0	amarajyoti	tanahu.nm	shuklagandaki	tanahun	46	46	adarsha shiksha sadan ebs
71	71	71	2	varabhanjya	ilama		ilam	3	3	adarsha sikshya niketan
72	72	72	0	nala devi	tanahu.n		tanahun	46	46	adarsha sikshya sadan
73	73	73	1	dharma	tanahu.n.n	bhimada	tanahun	46	46	adarsha sishu
74	74	74	1	miklacho	ilama		ilam	3	3	adarsha sita
75	75	75	1	buddha	ilama		ilam	3	3	adarsha vidya mandir
76	76	76	3	ratna devi	ilama	gajuramukhi	ilam	3	3	adarsha vidya mandir
77	77	77	3	gajuramukhi	ilama		ilam	3	3	khayarbana
78	78	78	0	jalapa	bhojapura	aruna	bhojpur	1	1	thakle
79	79	79	3	simheshvari	ilama		ilam	3	3	
80	80	80	0	siddhi vinayaka	ilama	sumbeka	ilam	3	3	jahadi simle
81	81	81	0	dobhana	ilama		ilam	3	3	a janasmriti
82	82	82	0	devi	ilama		ilam	3	3	a
83	83	83	3	iraumtara	ilama	ro~na ga pa	ilam	3	3	ghuskeehat
84	84	84	0	vidya	ilama		ilam	3	3	sishuwa dharampur
85	85	85	0	maheshvara	ilama	nindakhu saeyaka	ilam	3	3	
86	86	86	0	vikri	ilama		ilam	3	3	
87	87	87	1	bhagavati	ilama	golakharka	ilam	3	3	ambote
88	88	88	0	deurali	ilama	jitapura	ilam	3	3	kanchanbari
89	89	89	0	adarsha	ilama	phikkala	ilam	3	3	lamadi barre
90	90	90	1	adarsha	ilama		ilam	3	3	phakshi
91	91	91	1	nepalatara	ilama	sakheju~na	ilam	3	3	barbhanjyang
92	92	92	0	drripadavi	ilama		ilam	3	3	aditya star ebs
93	93	93	1	pashupati kanya mandira	dolakha		dolakha	32	32	advance montessory
94	94	94	3	nava jyoti	ilama		ilam	3	3	advanced world academy
95	95	95	1	bhagavati	ilama		ilam	3	3	adventist ebs
96	96	96	1	bhagavati	ilama	dhuseni	ilam	3	3	aekata gyan maithil
97	97	97	1	himali	jhapa	prrithvinagara	jhapa	4	4	agnikasing  tumbewa
98	98	98	1	mahendra ratna	jhapa	virtamoda	jhapa	4	4	ahale
99	99	99	1	kalika	tanahu.n	bi	tanahun	46	46	ahale
100	100	100	1	siddhamahakali	tanahu.n.n		tanahun	46	46	aims educational academy arjundhara
101	101	101	0	lakshmi narayana	bhojapura		bhojpur	1	1	aishworya
102	102	102	0	rachana	bhojapura		bhojpur	1	1	aishworya
103	103	103	0	jalpa	bhojapura	sanedumma	bhojpur	1	1	aitabare
104	104	104	1	kataka	bhojapura	ya~napa~na	bhojpur	1	1	aitabare ni ma
105	105	105	1	paravati	tanahu.n		tanahun	46	46	aitabare
106	106	106	0	jyoti	bhojapura		bhojpur	1	1	aitabare
107	107	107	1	simhadevi	bhojapura	halaucha	bhojpur	1	1	aitabare
108	108	108	1	lakshmi	syangja	thumapokhara	syangja	45	45	aitabare
109	109	109	3	ananda	bardiya	ratamate madhuvana	bardiya	58	58	ajajiya madarasa
110	110	110	0	jayanepala	tanahu.n		tanahun	46	46	ajambari
111	111	111	3	rashtriya	tanahu.n.n		tanahun	46	46	ak montessori vi
112	112	112	1	shamkara	tanahu.n.n		tanahun	46	46	akash devi
113	113	113	1	janaka	navalaparasi	gaimdakota va su purva	nawalparasi	48	48	akchewa
114	114	114	3	sarasvati	tanahu.n.n	bhanu na pa	tanahun	46	46	akshara ebs
115	115	115	3	jivanajyaeti	chitavana	bharatapura	chitwan	29	29	al islah ideal vi madarsa
116	116	116	1	durga sheshakanta adhikari	chitavana	vijayanagara	chitwan	29	29	al madina madarsa
117	117	117	1	mahendra jyoti	tanahu.n.n		tanahun	46	46	alember
118	118	118	1	krrishna	tanahu.n.n	ghiri~na	tanahun	46	46	alfalah public
119	119	119	3	gudi phachya~na	tanahu.n.n		tanahun	46	46	ali public vi
120	120	120	1	mahendri	tanahu.n.n	vyasa	tanahun	46	46	allied ebs
121	121	121	0	barahi	tanahu.n.n	rrishi~na ga pa	tanahun	46	46	alpa devi
122	122	122	1	dipaka	tanahu.n		tanahun	46	46	alpha academy
123	123	123	0	kusmavati	tanahu.n.n		tanahun	46	46	alpha beta ebs
124	124	124	0	krrishna gandaki	tanahu.n.n	belasva.nra	tanahun	46	46	alpine ebs
125	125	125	3	shri	chitavana	sisavasa parsabajara	chitwan	29	29	alpine international model sec vi
126	126	126	1	araniko	tanahu.n.n	mirlu~na	tanahun	46	46	amaduwa pharma
127	127	127	0	mukundeshvari	tanahu.n		tanahun	46	46	amar deep
128	128	128	0	janata	tanahu.n	vyasa	tanahun	46	46	amar english ma ebs
129	129	129	1	navadurga	palpa	ramapura	palpa	52	52	amar jyoti
130	130	130	1	chandrajyoti	tanahu.n		tanahun	46	46	amar jyoti
131	131	131	1	chandra jyoti	tanahu.n.n		tanahun	46	46	amar jyoti
132	132	132	1	samgama	kaski	anpurna ga pa	kaski	38	38	amar jyoti
133	133	133	0	pokhari	ilama		ilam	3	3	amar jyoti
134	134	134	1	adarsha	bhaktapura	sanothimi	bhaktapur	24	24	amar jyoti
135	135	135	1	balamandala	ilama	ilama na pa	ilam	3	3	amar
136	136	136	0	shri kalika devi	ilama	amachoka ratamate	ilam	3	3	amar
137	137	137	0	subhadra	ilama	phakaphoka	ilam	3	3	amar
138	138	138	0	navinapragati	ilama		ilam	3	3	amar sahid
139	139	139	0	janashakti	tanahu.n		tanahun	46	46	amar sahid
140	140	140	0	lakshmi devi	ilama	amachoka	ilam	3	3	amar
141	141	141	3	mahendrodaya	ilama		ilam	3	3	amar
142	142	142	3	kaligandaki	tanahu.n.n		tanahun	46	46	amar
143	143	143	3	mahadeva	tanahu.n.n	devaghata	tanahun	46	46	amar shanti srijana
144	144	144	2	sumbeka	ilama		ilam	3	3	amar singh
145	145	145	0	siddeshvari	ilama	barabote	ilam	3	3	amar singh
146	146	146	3	adarsha	ilama	ilama na pa	ilam	3	3	amar singh
147	147	147	1	narayani namuna	chitavana	bharatapura	chitwan	29	29	amaramarlaxmi i
148	148	148	3	jana shishu kalyana	tanahu.n.n		tanahun	46	46	amardaha children public ebs
149	149	149	1	janaprabhata	kathamadaum		kathmandu	23	23	amarhart memorial ebs
150	150	150	0	puvamai	ilama		ilam	3	3	amarjyoti
151	151	151	1	nanda	ilama	ilama na pa	ilam	3	3	amarkalyan
152	152	152	1	buddha ardasha	jhapa		jhapa	4	4	amarpur
153	153	153	1	varachuli	navalaparasi	devachuli va su purva	nawalparasi	48	48	amarsingh
154	154	154	0	mahadeva	ilama		ilam	3	3	amarsmriti
155	155	155	0	nara	ilama		ilam	3	3	amaruwa uchha
156	156	156	3	hattitara	ilama	maijogamai	ilam	3	3	ambar
157	157	157	3	lakshmi vidya bhavana	ilama	mai na pa	ilam	3	3	ambassador ebs
158	158	158	3	nepala jyoti	ilama	namasali~na	ilam	3	3	ambebar janta
159	159	159	3	gajuramukhi	ilama	jitapura	ilam	3	3	ambegudin
160	160	160	0	j~nanodaya	ilama	vadhahare	ilam	3	3	ambegudin
161	161	161	0	sarasvati	ilama	samalabu~na	ilam	3	3	ambika
162	162	162	0	janata	ilama	pya~nga	ilam	3	3	ambition academy
163	163	163	3	siddhartha	ilama		ilam	3	3	ambote
164	164	164	3	rashtriya	ilama	maijogamai	ilam	3	3	amity international vi
165	165	165	2	hamalaya	ilama	chasapani	ilam	3	3	amity public vi
166	166	166	1	purnasmaraka	ilama		ilam	3	3	amity
167	167	167	0	janakalyana	ilama	godaka	ilam	3	3	amlise bhanjyang
168	168	168	1	sarasvati	ilama	vatase	ilam	3	3	amlishe
169	169	169	1	rashtapremi	ilama		ilam	3	3	amma academy
170	170	170	2	valakanya	ilama		ilam	3	3	amrash a via
171	171	171	0	yuvavarsha	ilama		ilam	3	3	amrit
172	172	172	0	tribhuvana	ilama	pa~nchakanya	ilam	3	3	amrit
173	173	173	3	amara jyoti	ilama	sa~narumba	ilam	3	3	amrit ebs
174	174	174	2	maheshvara	ilama	soyaka	ilam	3	3	amurt academy
175	175	175	3	deumai	ilama		ilam	3	3	ananda
176	176	176	3	suryodaya	ilama	barabote	ilam	3	3	anandeshwar
177	177	177	3	bala kalyana	ilama		ilam	3	3	ananta
178	178	178	0	jalpa	ilama		ilam	3	3	ananta
179	179	179	3	narayana	ilama	godaka	ilam	3	3	ananta sikshya jyoti
180	180	180	0	sarasvati	ilama	danabari	ilam	3	3	anantajyoti vidhya mandir ebs
181	181	181	3	bhagavati	ilama	jitapura	ilam	3	3	anarmani a via
182	182	182	2	jalapa	ilama		ilam	3	3	anarmani liberty vi
183	183	183	3	kamala devi	ilama		ilam	3	3	andheri
184	184	184	1	phalate	ilama		ilam	3	3	angel academy
185	185	185	1	valamandala	ilama		ilam	3	3	angelica academy
186	186	186	3	valmiki simhadevi	ilama		ilam	3	3	angels kindergarten
187	187	187	1	janata	ilama	mai nagarapalika	ilam	3	3	angepa
188	188	188	0	thokaphela	ilama		ilam	3	3	anibarya nisulka  takure
189	189	189	1	narayana jana	kathamadaum	machchegau.n	kathmandu	23	23	aniwarya nisulka
190	190	190	1	vinapani	ilama		ilam	3	3	aniwarya nisulka
191	191	191	1	ba.njhogau.n	ilama	chulachuli	ilam	3	3	aniwarya nisulka
192	192	192	0	siddha devi	ilama	puvamajuva	ilam	3	3	annapurna academy morang
193	193	193	2	siddhadeumai	ilama	chayaita	ilam	3	3	annapurna academy
194	194	194	1	dambara devi	ilama		ilam	3	3	annapurna
195	195	195	1	mahendra	tanahu.n.n		tanahun	46	46	annapurna  bhalupakwan
196	196	196	0	narayanachaura	tanahu.n		tanahun	46	46	annapurna  bajagara
197	197	197	0	salleri	ilama		ilam	3	3	annapurna ebs
198	198	198	0	janata	ilama	chamaita	ilam	3	3	annapurna ebs
199	199	199	1	simhadevi	ilama		ilam	3	3	annapurna
200	200	200	1	bhrrikuti	tanahu.n.n		tanahun	46	46	annapurna  balapipaldanda
201	201	201	1	janasahayogi	tanahu.n.n	bhanu na pa	tanahun	46	46	annapurna  dandagaun
202	202	202	1	dullabha	gorakha	masela	gorkha	37	37	annapurna ma ebs myanglung tehrathum
203	203	203	1	jivana jyoti	gorakha	kaphalada.nda	gorkha	37	37	annapurna
204	204	204	3	hiramani	tanahu.n.n		tanahun	46	46	annapurna
205	205	205	1	chisopani	ilama	ma~nasebu~na	ilam	3	3	annapurna
206	206	206	1	janata jayasavala	dhanusha	godara	dhanusha	20	20	anshu academy
207	207	207	1	mavi	dhanusha	digambarapura	dhanusha	20	20	anshubarma
208	208	208	1	buddhashanti	chitavana	rapti	chitwan	29	29	antarrastriya yuwabarsha
209	209	209	1	bashahasthana	tanahu.n		tanahun	46	46	antu academy
210	210	210	1	anandajyoti	kaski	pokhara	kaski	38	38	antu memorial ebs
211	211	211	2	lakshmi	tanahu.n		tanahun	46	46	anwarul islam madrassa
212	212	212	3	gorakha	ilama	samalavu~nga	ilam	3	3	apex academy
213	213	213	0	simhaadarsha	ilama		ilam	3	3	apex academy ebs
214	214	214	1	pya~nga	ilama	pya~na kutida.nda	ilam	3	3	apple montessori vi
215	215	215	0	jyoti	ilama	jogamai	ilam	3	3	apple tree academy
216	216	216	1	mahendri	tanahu.n.n		tanahun	46	46	apsani brosis ebs
217	217	217	1	annapurna	gorakha		gorkha	37	37	araniko
218	218	218	1	amarakalyana	ilama	maijaegamai	ilam	3	3	araniko
219	219	219	1	kapiya	chitavana	kumaroja	chitwan	29	29	araniko ma via
220	220	220	1	ratnarajya	kathamadaum	baneshvara	kathmandu	23	23	araniko memorial ebs dharan
221	221	221	1	birendra	nuvakota	kumari	nuwakot	30	30	araniko memorial ebs sunwarshi morang
222	222	222	3	amrrita	tanahu.n.n		tanahun	46	46	araniko ma ebs myanglung tehrathum
223	223	223	1	shantipura	ilama	shantipura	ilam	3	3	araniko
224	224	224	0	kailasha	ilama		ilam	3	3	arif husen aa vi madarasa
225	225	225	0	chanidaka	tanahu.n		tanahun	46	46	arihanta ebs
226	226	226	2	indradevi	tanahu.n		tanahun	46	46	arjundhara academy
227	227	227	0	ra	chitavana	divanagara	chitwan	29	29	arjundhara sanskrit adarsha  arjundhara
228	228	228	1	kaligamga	tanahu.n.n	baidi	tanahun	46	46	arjundhara sanskrit bed bidhayapith
229	229	229	3	arunodaya	ilama	shantipura	ilam	3	3	arjundhara  arjundhara
230	230	230	1	balakesha	tanahu.n.n	devaghata	tanahun	46	46	arkit academy
231	231	231	0	narayana	tanahu.n.n	simalachaura	tanahun	46	46	arniko
232	232	232	0	amara	tanahu.n.n	vyasa	tanahun	46	46	arpan ebs
233	233	233	3	bhimasuna	ilama	sandakapura	ilam	3	3	arpana ebs
234	234	234	1	shivamai	ilama	naya.nbajara	ilam	3	3	arubhanjyang  balakhu
235	235	235	0	guru~nagaum	ilama		ilam	3	3	arubote bal bikash kendra
236	236	236	1	kankai	ilama		ilam	3	3	arubote  musegaira
237	237	237	0	laligura.nsa	khota~na		khotang	5	5	arun
238	238	238	0	kamala	tanahu.n		tanahun	46	46	arun
239	239	239	3	krrishnalaya	tanahu.n.n	vyasa	tanahun	46	46	arun  batase
240	240	240	1	prabodha	ilama	mabu	ilam	3	3	arun  saldada
241	241	241	3	janajyoti	khota~na	jantedhu~nga ga pa	khotang	5	5	arun besic vi bhotkhola
242	242	242	1	kamadhenu	kathamadaum		kathmandu	23	23	arun ganga
243	243	243	3	avi	dhanusha		dhanusha	20	20	arun top ebs
244	244	244	3	gorkha kalika	tanahu.n.n		tanahun	46	46	arun valley ebs
245	245	245	3	kalika	chitavana	devaghata	chitwan	29	29	arun valley international ebs
246	246	246	3	parvati	khota~na	rupakota	khotang	5	5	arun valley public vi
247	247	247	1	adarsha shiksha	tanahu.n.n		tanahun	46	46	arunkoshi
248	248	248	0	chanrdodaya	tanahu.n		tanahun	46	46	arunodaya
249	249	249	1	prrithvi	khota~na		khotang	5	5	arunodaya
250	250	250	1	mahendrodaya	khota~na	halesi	khotang	5	5	arunodaya  biratnagar
251	251	251	2	sarasvati	khota~na		khotang	5	5	arunodaya  gahate
252	252	252	0	jana vikasa	khota~na		khotang	5	5	arunodaya  arjundhara
253	253	253	4	sarasvati khota~na	sarlahi		sarlahi	18	18	arunodaya ebs
254	254	254	3	bauddha	khota~na	aiselukharka ga pa	khotang	5	5	arunodaya ebs
255	255	255	1	deurali	khota~na		khotang	5	5	arunodaya ebs
256	256	256	1	janata	siraha	sukhipura	siraha	19	19	arunodaya karmajyamu
257	257	257	0	sarasvati	tanahu.n.n	shuklagandaki na pa	tanahun	46	46	arunodaya
258	258	258	0	shanti	tanahu.n.n	bandipura	tanahun	46	46	arunodaya
259	259	259	1	krrishna	tanahu.n.n	gajarakota	tanahun	46	46	arunodaya
260	260	260	0	jana kalyana	mana~na		manang	40	40	arunodaya
261	261	261	3	ghataveshi	gorakha	bhimasena	gorkha	37	37	arunodaya ma ebs
262	262	262	0	shikhara jyoti	gorakha	vayapani harmi	gorkha	37	37	arunodaya
263	263	263	3	chandika	gaerakha	vu~nakota	gorkha	37	37	arunodaya
264	264	264	2	amara	tanahu.n.n	tallo	tanahun	46	46	arunodaya
265	265	265	0	shamkara	tanahu.n.n	vyasa	tanahun	46	46	arya a viidhalaya harinagar gautampur
266	266	266	0	naya.n jyoti	tanahu.n.n	vyasa na pa	tanahun	46	46	asanglung
267	267	267	1	jaladevi	tanahu.n.n	vyasa	tanahun	46	46	asari ebs
268	268	268	0	pelu~na	khota~na	nirmalida.nda	khotang	5	5	ascent academy
269	269	269	1	janata	khaeta~na	halesi tuvachu~na na pa	khotang	5	5	ashadeep ebs
270	270	270	1	mahendra jyoti	tanahu.n.n	shishaghata	tanahun	46	46	asian academy
271	271	271	0	chandi niketana	khota~na		khotang	5	5	asian star educational academy nepal
272	272	272	0	sasu niketana	khota~na	khamadada yamkha	khotang	5	5	asine
273	273	273	0	nava jyoti	doti		doti	75	75	asmin memorial ebs
274	274	274	1	mahendra	tanahu.n.n	dhora bhusunapura	tanahun	46	46	asmita and abishek academy
275	275	275	3	jaladevi	navalaparasi	va su purva	nawalparasi	48	48	atalsinghadevi
276	276	276	3	ratna jyoti	tanahu.n.n		tanahun	46	46	atharasaya
277	277	277	0	vijaya	khota~na		khotang	5	5	athrai ebs
278	278	278	3	janata	siraha	mahadeva	siraha	19	19	atmara
279	279	279	2	nimavi	khota~na		khotang	5	5	aulia taulia
280	280	280	0	rashtiya	saptari		saptari	21	21	auliya
281	281	281	0	pashupati	tanahu.n.n	shuklagandaki	tanahun	46	46	awatariraksha
282	282	282	0	chandrodaya	tanahu.n.n	bhanu	tanahun	46	46	azalea ma ebs
283	283	283	1	pa~nchakoshi	parbata		parbat	44	44	b p saraswati
284	284	284	2	sarasvati	tanahu.n.n	bhirkota	tanahun	46	46	b padharvut v harinagar
285	285	285	2	vishnu	tanahu.n		tanahun	46	46	b s model ebs
286	286	286	1	radha damodara j~nana jyoti samskrrita	syangja	sa.nkhara	syangja	45	45	bb memorial ebs
287	287	287	3	akala	tanahu.n.n	a.nbukhaireni	tanahun	46	46	bn educational academy
288	288	288	0	parvati	tanahu.n.n		tanahun	46	46	bp
289	289	289	0	kalika	khota~na	damkhu baksila	khotang	5	5	bp madan
290	290	290	0	jaya sarasvati	khota~na		khotang	5	5	baba dinabhadri
291	291	291	1	hanumana prasada sharada	siraha	inarva	siraha	19	19	babuchiri bal kalyan
292	292	292	0	gamga jamuna	khota~na		khotang	5	5	babuji
293	293	293	0	janata	siraha	pokhariya	siraha	19	19	baby jyoti ebs
294	294	294	3	shri janata	dhanusha		dhanusha	20	20	babycare ebs
295	295	295	1	bhagavati dinanatha	khota~na	khota~nabajara	khotang	5	5	babyjyoti ebs
296	296	296	3	adarsha	mora~na	sundaraharaimcha	morang	6	6	babyland education foundation
297	297	297	1	mahendrodaya	khota~na	da.ndagau.n okhre	khotang	5	5	babylon ma ebs itahari
298	298	298	0	jaladevi	tanahu.n.n	jamdi	tanahun	46	46	bachala devi
299	299	299	0	satyavati	tanahu.n.n	rupakota vilauni	tanahun	46	46	bad danda
300	300	300	2	shahidarghama	tanahu.n		tanahun	46	46	bagaincha
301	301	301	0	krrishna	tanahu.n.n	ratanapura	tanahun	46	46	bagarbari
302	302	302	1	sitapaila	kathamadau	sitapaila	kathmandu	23	23	bageshwori
303	303	303	0	sahajivana	tanahu.n	risti	tanahun	46	46	bageswari  gohiya
304	304	304	0	shri shantishrrrijana	tanahu.n		tanahun	46	46	bagh jhoda ganatantrik
305	305	305	3	padama	tanahu.n	vandipura	tanahun	46	46	bagishwari a viidyalaya
306	306	306	0	ravichandra	tanahu.n.n	myagde ga pa	tanahun	46	46	bagishwary  dhungedhara
307	307	307	1	mahendra	tanahu.n.n	raipura	tanahun	46	46	bagmati ebs
308	308	308	0	shri jayaganapati	tanahu.n		tanahun	46	46	baguwa
309	309	309	1	mina	tanahu.n.n	tharpu	tanahun	46	46	bahadur baba chaudhari
310	310	310	1	kalika	kaski	bharatapokhari	kaski	38	38	bahuban
311	311	311	1	nava prabhata	kaski	naya.n bajara pokhara	kaski	38	38	bahumukhi
312	312	312	1	hamsavahini	tanahu.n		tanahun	46	46	bahuni collegiate ebs
313	313	313	1	shanti vidyagrriha	kathamadaum	lainachaura	kathmandu	23	23	baijanath adhikari prarambik sanskrit bhadyapith
314	314	314	1	kalika	tanahu.n.n	bhanu na pa	tanahun	46	46	baijanath baijani  sirisedada
315	315	315	0	samjhana	tanahu.n.n		tanahun	46	46	baikalpik
316	316	316	1	radha	tanahu.n.n	vi	tanahun	46	46	bairati
317	317	317	3	janata	tanahu.n.n	vyasa	tanahun	46	46	bajramai
318	318	318	3	janajyoti	tanahu.n	devaghata si~nchya~nga	tanahun	46	46	bakhapalam
319	319	319	0	samgama	tanahu.n		tanahun	46	46	bakhari
320	320	320	3	tilicho	mana~na	kha~nsara	manang	40	40	bakraha
321	321	321	0	paruha~na sharana	khota~na		khotang	5	5	bakshila
322	322	322	0	shri janata	khota~na		khotang	5	5	bal adarsha ebs
323	323	323	1	udaya	tanahu.n.n	vyasa	tanahun	46	46	bal adarsha vidya mandir
324	324	324	1	pa~nchakanya	makavanapura		makwanpur	28	28	bal bahadur
325	325	325	0	jalapadevi	makavanapura		makwanpur	28	28	bal bahubhasiya
326	326	326	2	vijaya	dolakha		dolakha	32	32	bal balika
327	327	327	0	vedakalika	tanahu.n.n		tanahun	46	46	bal
328	328	328	2	krrishnagamga	tanahu.n.n	ramjakota	tanahun	46	46	bal bhadra janata
329	329	329	3	kamadhenu	tanuha.n		dhanusha	20	20	bal bidhya niketan ebs
330	330	330	3	bramha	navalaparasi	va su purva	nawalparasi	48	48	bal bidya mandir
331	331	331	0	naga	tanahu.n.n	rrishi~na ga pa	tanahun	46	46	bal bidya mandir
332	332	332	2	kamaghenu	tanahu.n		tanahun	46	46	bal bidya mandir ebs
333	333	333	1	jayadurga	tanahu.n		tanahun	46	46	bal bikas
334	334	334	0	sharada	tanahu.n.n	bhagavatipura	tanahun	46	46	bal bikas basicvi
335	335	335	1	himalaya	tanahu.n		tanahun	46	46	bal bikas ebs
336	336	336	1	jana jagrriti gamga	tanahu.n.n	vyasa na pa	tanahun	46	46	bal bikash
337	337	337	1	siddheshvari	tanahu.n.n	kamalabari	tanahun	46	46	bal bikash
338	338	338	1	sarasvati sadana	tanahu.n		tanahun	46	46	bal bikash
339	339	339	1	udaya	tanahu.n		tanahun	46	46	bal bikash
340	340	340	3	annapurna sitapokhari	kaski		kaski	38	38	bal bikash
341	341	341	3	masya~nadi samudayika	tanahu.n.n		tanahun	46	46	bal bikash
342	342	342	2	narayani	tanahu.n.n	varabha~njya~na	tanahun	46	46	bal bikash  lamechaur
343	343	343	1	homarajalohani	tanahu.n		tanahun	46	46	bal bikash
