school_id	school_transliterated	school_1_transliterated	School_level_transliterated	School_name_transliterated	Location_transliterated	Potential_district_transliterated	Location_1_transliterated
65	khartancha ni॰ma॰vi॰, bhojapura	khartancha nimavi bhojapura	nimavi	khartancha	bhojapura	bhojapura	
66	dhapakharka pra vi, bhojapura	dhapakharka pravi bhojapura	pravi	dhapakharka	bhojapura	bhojapura	
67	pa~nchakanya prathamika vidyalaya pauvadu~nama ga॰pa॰, bhojapura	pa~nchakanya pravi pauvadu~nama ga pa bhojapura	pravi	pa~nchakanya	pauvadu~nama ga pa bhojapura	bhojapura	pauvadu~nama ga pa
68	amara jyoti prathamika vidyalaya, kyamunada.nda jhirubasa, tanahu.n	amara jyoti pravi kyamunada.nda jhirubasa tanahu.n.n	pravi	amara jyoti	kyamunada.nda jhirubasa tanahu.n.n	tanahu.n.n	kyamunada.nda jhirubasa
69	jana kalyana adharabhuta vidyalaya, lakshmipura -5, ilama	jana kalyana avi lakshmipura ilama	avi	jana kalyana	lakshmipura ilama	ilama	lakshmipura
70	vidyadhari prathamika vidyalaya ramaprasadarai ga॰pa॰, bhojapura	vidyadhari pravi ramaprasadarai ga pa bhojapura	pravi	vidyadhari	ramaprasadarai ga pa bhojapura	bhojapura	ramaprasadarai ga pa
71	devithana madhyamika vidhalaya amteka bhojapura	devithana mavi amteka bhojapura	mavi	devithana	amteka bhojapura	bhojapura	amteka
72	amarajyoti prathamika vidyalaya, shuklagandaki, tanahum	amarajyoti pravi shuklagandaki tanahu.nm	pravi	amarajyoti	shuklagandaki tanahu.nm	tanahu.nm	shuklagandaki
73	varabhanjya ni॰ma॰vi॰, ilama	varabhanjya nimavi ilama	nimavi	varabhanjya	ilama	ilama	
74	nala devi pra bi, tanahu	nala devi pravi tanahu.n	pravi	nala devi	tanahu.n	tanahu.n	
75	dharma madhyamika vidhalaya bhimada, tanahu.n	dharma mavi bhimada tanahu.n.n	mavi	dharma	bhimada tanahu.n.n	tanahu.n.n	bhimada
76	miklacho ma॰vi॰, ilama	miklacho mavi ilama	mavi	miklacho	ilama	ilama	
77	buddha madhyamika vidyalaya, ilama	buddha mavi ilama	mavi	buddha	ilama	ilama	
78	ratna devi adharabhuta vidyalaya, gajuramukhi, ilama	ratna devi avi gajuramukhi ilama	avi	ratna devi	gajuramukhi ilama	ilama	gajuramukhi
79	gajuramukhi adharabhuta vidyalaya, ilama	gajuramukhi avi ilama	avi	gajuramukhi	ilama	ilama	
80	jalapa prathamika vidyalaya aruna, bhojapura	jalapa pravi aruna bhojapura	pravi	jalapa	aruna bhojapura	bhojapura	aruna
81	simheshvari adharabhuta vidyalaya, ilama	simheshvari avi ilama	avi	simheshvari	ilama	ilama	
82	siddhi vinayaka prathamika vidhalaya, sumbeka ilama	siddhi vinayaka pravi sumbeka ilama	pravi	siddhi vinayaka	sumbeka ilama	ilama	sumbeka
83	dobhana pra॰vi॰, ilama	dobhana pravi ilama	pravi	dobhana	ilama	ilama	
84	devi pra॰vi॰, ilama	devi pravi ilama	pravi	devi	ilama	ilama	
85	iraumtara adharabhuta vidyalaya ro~na ga॰pa॰, ilama	iraumtara avi ro~na ga pa ilama	avi	iraumtara	ro~na ga pa ilama	ilama	ro~na ga pa
86	vidya pra॰vi॰, ilama	vidya pravi ilama	pravi	vidya	ilama	ilama	
87	maheshvara prathamika vidyalaya, nindakhu, saeyaka, ilama	maheshvara pravi nindakhu saeyaka ilama	pravi	maheshvara	nindakhu saeyaka ilama	ilama	nindakhu saeyaka
88	bikri pra॰ bi ॰, ilama	vikri pravi ilama	pravi	vikri	ilama	ilama	
89	bhagavati madhyamika vidyalaya, golakharka, ilama	bhagavati mavi golakharka ilama	mavi	bhagavati	golakharka ilama	ilama	golakharka
90	deurali pra॰vi॰, jitapura, ilama	deurali pravi jitapura ilama	pravi	deurali	jitapura ilama	ilama	jitapura
91	adarsha pra॰vi॰, phikkala, ilama	adarsha pravi phikkala ilama	pravi	adarsha	phikkala ilama	ilama	phikkala
92	adarsha madhyamika vidyalaya, ilama	adarsha mavi ilama	mavi	adarsha	ilama	ilama	
93	nepalatara madhyamika vidyalaya sakheju~na, ilama	nepalatara mavi sakheju~na ilama	mavi	nepalatara	sakheju~na ilama	ilama	sakheju~na
94	drripadavi pra॰vi॰, ilama	drripadavi pravi ilama	pravi	drripadavi	ilama	ilama	
95	pashupati kanya mandira madhyamika vidhalaya, dolakha	pashupati kanya mandira mavi dolakha	mavi	pashupati kanya mandira	dolakha	dolakha	
96	nava jyoti adharabhuta vidyalaya, ilama	nava jyoti avi ilama	avi	nava jyoti	ilama	ilama	
97	bhagavati madhyamika vidyalaya, ilama	bhagavati mavi ilama	mavi	bhagavati	ilama	ilama	
98	bhagavati u॰ madhyamika vidhalaya dhuseni-6 ilama	bhagavati mavi dhuseni ilama	mavi	bhagavati	dhuseni ilama	ilama	dhuseni
99	himali madhyamika vidyalaya prrithvinagara, jhapa	himali mavi prrithvinagara jhapa	mavi	himali	prrithvinagara jhapa	jhapa	prrithvinagara
100	mahendra ratna madhyamika vidyalaya, virtamoda, jhapa	mahendra ratna mavi virtamoda jhapa	mavi	mahendra ratna	virtamoda jhapa	jhapa	virtamoda
101	kalika ma bi, tanahu	kalika mavi bi tanahu.n	mavi	kalika	bi tanahu.n	tanahu.n	bi
102	siddhamahakali madhyamika vidyalaya, tanahu.n	siddhamahakali mavi tanahu.n.n	mavi	siddhamahakali	tanahu.n.n	tanahu.n.n	
103	lakshmi narayana pra vi, bhojapura	lakshmi narayana pravi bhojapura	pravi	lakshmi narayana	bhojapura	bhojapura	
104	rachana pra vi, bhojapura	rachana pravi bhojapura	pravi	rachana	bhojapura	bhojapura	
105	jalpa prathamika vidhalaya sanedumma bhojapura	jalpa pravi sanedumma bhojapura	pravi	jalpa	sanedumma bhojapura	bhojapura	sanedumma
106	kataka madhyamika vidhalaya ya~napa~na bhojapura	kataka mavi ya~napa~na bhojapura	mavi	kataka	ya~napa~na bhojapura	bhojapura	ya~napa~na
107	paravati ma bi, tanahu	paravati mavi tanahu.n	mavi	paravati	tanahu.n	tanahu.n	
108	jyoti pra vi, bhojapura	jyoti pravi bhojapura	pravi	jyoti	bhojapura	bhojapura	
109	simhadevi madhyamika vidhalaya halaucha bhojapura |	simhadevi mavi halaucha bhojapura	mavi	simhadevi	halaucha bhojapura	bhojapura	halaucha
110	lakshmi u॰ madhyamika vidhalaya, thumapokhara sya~naja	lakshmi mavi thumapokhara sya~naja	mavi	lakshmi	thumapokhara sya~naja	sya~naja	thumapokhara
111	ananda adharabhuta vidyalaya ratamate, madhuvana, bardiya	ananda avi ratamate madhuvana bardiya	avi	ananda	ratamate madhuvana bardiya	bardiya	ratamate madhuvana
112	jayanepala pra vi, tanahu	jayanepala pravi tanahu.n	pravi	jayanepala	tanahu.n	tanahu.n	
113	rashtriya adharabhuta vidyalaya, tanahu.n	rashtriya avi tanahu.n.n	avi	rashtriya	tanahu.n.n	tanahu.n.n	
114	shamkara madhyamika vidyalaya, tanahu.n	shamkara mavi tanahu.n.n	mavi	shamkara	tanahu.n.n	tanahu.n.n	
115	janaka madhyamika vidyalaya gaimdakota, va॰su॰purva navalaparasi	janaka mavi gaimdakota va su purva navalaparasi	mavi	janaka	gaimdakota va su purva navalaparasi	navalaparasi	gaimdakota va su purva
116	sarasvati adharabhuta vidyalaya bhanu na॰pa, tanahu.n	sarasvati avi bhanu na pa tanahu.n.n	avi	sarasvati	bhanu na pa tanahu.n.n	tanahu.n.n	bhanu na pa
117	jivanajyaeti adharabhuta vidyalaya, bharatapura, chitavana	jivanajyaeti avi bharatapura chitavana	avi	jivanajyaeti	bharatapura chitavana	chitavana	bharatapura
118	durga sheshakanta adhikari madhyamika vidyalaya, vijayanagara, chitavana	durga sheshakanta adhikari mavi vijayanagara chitavana	mavi	durga sheshakanta adhikari	vijayanagara chitavana	chitavana	vijayanagara
119	mahendra jyoti madhyamika vidyalaya tanahu.n	mahendra jyoti mavi tanahu.n.n	mavi	mahendra jyoti	tanahu.n.n	tanahu.n.n	
120	krrishna madhyamika vidyalaya ghiri~na, tanahu.n	krrishna mavi ghiri~na tanahu.n.n	mavi	krrishna	ghiri~na tanahu.n.n	tanahu.n.n	ghiri~na
121	gudi phachya~na adharabhuta vidyalaya, tanahu.n	gudi phachya~na avi tanahu.n.n	avi	gudi phachya~na	tanahu.n.n	tanahu.n.n	
122	mahendri madhyamika vidyalaya vyasa, tanahu.n	mahendri mavi vyasa tanahu.n.n	mavi	mahendri	vyasa tanahu.n.n	tanahu.n.n	vyasa
123	barahi prathamika vidyalaya rrishi~na ga॰pa॰, tanahu.n	barahi pravi rrishi~na ga pa tanahu.n.n	pravi	barahi	rrishi~na ga pa tanahu.n.n	tanahu.n.n	rrishi~na ga pa
124	dipaka ma bi, tanahu	dipaka mavi tanahu.n	mavi	dipaka	tanahu.n	tanahu.n	
125	kusmavati prathamika vidyalaya tanahu.n	kusmavati pravi tanahu.n.n	pravi	kusmavati	tanahu.n.n	tanahu.n.n	
126	krrishna gandaki prathamika vidyalaya, belasva.nra, tanahu.n	krrishna gandaki pravi belasva.nra tanahu.n.n	pravi	krrishna gandaki	belasva.nra tanahu.n.n	tanahu.n.n	belasva.nra
127	shri adharabhuta vidyalaya sisavasa, parsabajara, chitavana	shri avi sisavasa parsabajara chitavana	avi	shri	sisavasa parsabajara chitavana	chitavana	sisavasa parsabajara
128	kaligandaki pra vi	kaligandaki pravi	pravi	kaligandaki			
129	araniko u॰ madhyamika vidhalaya mirlu~na, tanahu.n	araniko mavi mirlu~na tanahu.n.n	mavi	araniko	mirlu~na tanahu.n.n	tanahu.n.n	mirlu~na
130	mukundeshvari pra vi, tanahu	mukundeshvari pravi tanahu.n	pravi	mukundeshvari	tanahu.n	tanahu.n	
131	janata prathamika vidhalaya vyasa tanuhu.n	janata pravi vyasa tanahu.n	pravi	janata	vyasa tanahu.n	tanahu.n	vyasa
132	navadurga madhyamika vidhalaya ramapura palpa	navadurga mavi ramapura palpa	mavi	navadurga	ramapura palpa	palpa	ramapura
133	chandrajyoti ma bi, tanahu	chandrajyoti mavi tanahu.n	mavi	chandrajyoti	tanahu.n	tanahu.n	
134	chandra jyoti madhyamika vidyalaya, tanahu.n	chandra jyoti mavi tanahu.n.n	mavi	chandra jyoti	tanahu.n.n	tanahu.n.n	
135	samgama madhyamika vidyalaya anpurna ga॰pa, kaski	samgama mavi anpurna ga pa kaski	mavi	samgama	anpurna ga pa kaski	kaski	anpurna ga pa
136	pokhari pra॰vi॰, ilama	pokhari pravi ilama	pravi	pokhari	ilama	ilama	
137	adarsha madhyamika vidyalaya, sanothimi, bhaktapura	adarsha mavi sanothimi bhaktapura	mavi	adarsha	sanothimi bhaktapura	bhaktapura	sanothimi
138	balamandala madhyamika vidyalaya, ilama na॰pa॰, ilama	balamandala mavi ilama na pa ilama	mavi	balamandala	ilama na pa ilama	ilama	ilama na pa
139	shri kalika devi prathamika vidyalaya, amachoka, ratamate|ilama	shri kalika devi pravi amachoka ratamate ilama	pravi	shri kalika devi	amachoka ratamate ilama	ilama	amachoka ratamate
140	subhadra prathamika vidhalaya phakaphoka ilama	subhadra pravi phakaphoka ilama	pravi	subhadra	phakaphoka ilama	ilama	phakaphoka
141	navinapragati pra॰vi॰, ilama	navinapragati pravi ilama	pravi	navinapragati	ilama	ilama	
142	janashakti pra॰ vi॰, tanahu	janashakti pravi tanahu.n	pravi	janashakti	tanahu.n	tanahu.n	
143	lakshmi devi prathamika vidyalaya, amachoka, ilama	lakshmi devi pravi amachoka ilama	pravi	lakshmi devi	amachoka ilama	ilama	amachoka
144	mahendrodaya adharabhuta vidyalaya, ilama	mahendrodaya avi ilama	avi	mahendrodaya	ilama	ilama	
145	kaligandaki adharabhuta vidyalaya, tanahu.n	kaligandaki avi tanahu.n.n	avi	kaligandaki	tanahu.n.n	tanahu.n.n	
146	mahadeva adharabhuta vidyalaya devaghata, tanahu.n	mahadeva avi devaghata tanahu.n.n	avi	mahadeva	devaghata tanahu.n.n	tanahu.n.n	devaghata
147	madhyamika vidhalaya u0ma0vi	mavi mavi	mavi	mavi			
148	sumbeka ni॰ma॰vi॰, ilama	sumbeka nimavi ilama	nimavi	sumbeka	ilama	ilama	
149	siddeshvari pra॰vi॰, barabote, ilama	siddeshvari pravi barabote ilama	pravi	siddeshvari	barabote ilama	ilama	barabote
150	adarsha adharabhuta vidyalaya ilama na॰pa॰, ilama	adarsha avi ilama na pa ilama	avi	adarsha	ilama na pa ilama	ilama	ilama na pa
151	narayani namuna madhyamika vidyalaya, bharatapura-10, chitavana	narayani namuna mavi bharatapura chitavana	mavi	narayani namuna	bharatapura chitavana	chitavana	bharatapura
152	jana shishu kalyana adharabhuta vidyalaya, tanahu.n	jana shishu kalyana avi tanahu.n.n	avi	jana shishu kalyana	tanahu.n.n	tanahu.n.n	
153	janaprabhata madhyamika vidyalaya, kathamadaum	janaprabhata mavi kathamadaum	mavi	janaprabhata	kathamadaum	kathamadaum	
154	puvamai pra॰vi॰, ilama	puvamai pravi ilama	pravi	puvamai	ilama	ilama	
155	nanda madhyamika vidyalaya, ilama na॰pa॰, ilama	nanda mavi ilama na pa ilama	mavi	nanda	ilama na pa ilama	ilama	ilama na pa
156	buddha ardasha u॰ madhyamika vidhalaya, jhapa	buddha ardasha mavi jhapa	mavi	buddha ardasha	jhapa	jhapa	
157	varachuli madhyamika vidyalaya devachuli, va॰su॰purva navalaparasi	varachuli mavi devachuli va su purva navalaparasi	mavi	varachuli	devachuli va su purva navalaparasi	navalaparasi	devachuli va su purva
158	mahadeva pra॰vi॰, ilama	mahadeva pravi ilama	pravi	mahadeva	ilama	ilama	
159	nara pra॰vi॰, ilama	nara pravi ilama	pravi	nara	ilama	ilama	
160	hattitara adharabhuta vidyalaya, maijogamai, ilama	hattitara avi maijogamai ilama	avi	hattitara	maijogamai ilama	ilama	maijogamai
161	lakshmi vidya bhavana adharabhuta vidyalaya, mai na॰pa, ilama	lakshmi vidya bhavana avi mai na pa ilama	avi	lakshmi vidya bhavana	mai na pa ilama	ilama	mai na pa
162	nepala jyoti adharabhuta vidyalaya, namasali~na, ilama	nepala jyoti avi namasali~na ilama	avi	nepala jyoti	namasali~na ilama	ilama	namasali~na
163	gajuramukhi adharabhuta vidyalaya, jitapura, ilama	gajuramukhi avi jitapura ilama	avi	gajuramukhi	jitapura ilama	ilama	jitapura
164	j~nanodaya prathamika vidhalaya, vadhahare ilama	j~nanodaya pravi vadhahare ilama	pravi	j~nanodaya	vadhahare ilama	ilama	vadhahare
165	sarasvati prathamika vidhalaya, samalabu~na, ilama	sarasvati pravi samalabu~na ilama	pravi	sarasvati	samalabu~na ilama	ilama	samalabu~na
166	janata prathamika vidhalaya pya~nga, ilama	janata pravi pya~nga ilama	pravi	janata	pya~nga ilama	ilama	pya~nga
167	siddhartha adharabhuta vidyalaya, ilama	siddhartha avi ilama	avi	siddhartha	ilama	ilama	
168	rashtriya adharabhuta vidyalaya, maijogamai, ilama	rashtriya avi maijogamai ilama	avi	rashtriya	maijogamai ilama	ilama	maijogamai
169	hamalaya nimna madhyamika vidhalaya, chasapani, ilama	hamalaya nimavi chasapani ilama	nimavi	hamalaya	chasapani ilama	ilama	chasapani
170	purnasmaraka madhyamika vidyalaya, ilama	purnasmaraka mavi ilama	mavi	purnasmaraka	ilama	ilama	
171	janakalyana prathamika vidhalaya godaka, ilama	janakalyana pravi godaka ilama	pravi	janakalyana	godaka ilama	ilama	godaka
172	sarasvati u॰ madhyamika vidyalaya, vatase, ilama	sarasvati mavi vatase ilama	mavi	sarasvati	vatase ilama	ilama	vatase
173	rashtapremi u॰ madhyamika vidhalaya, ilama	rashtapremi mavi ilama	mavi	rashtapremi	ilama	ilama	
174	valakanya ni॰ma॰vi॰, ilama	valakanya nimavi ilama	nimavi	valakanya	ilama	ilama	
175	yuvavarsha pra॰vi॰, ilama	yuvavarsha pravi ilama	pravi	yuvavarsha	ilama	ilama	
176	tribhuvana pra॰vi॰pa~nchakanya, ilama	tribhuvana pravi pa~nchakanya ilama	pravi	tribhuvana	pa~nchakanya ilama	ilama	pa~nchakanya
177	amara jyoti adharabhuta vidyalaya sa~narumba, ilama	amara jyoti avi sa~narumba ilama	avi	amara jyoti	sa~narumba ilama	ilama	sa~narumba
178	maheshvara nimna madhyamika vidhalaya, soyaka ilama	maheshvara nimavi soyaka ilama	nimavi	maheshvara	soyaka ilama	ilama	soyaka
179	deumai adharabhuta vidyalaya, ilama	deumai avi ilama	avi	deumai	ilama	ilama	
180	suryodaya adharabhuta vidyalaya, barabote, ilama	suryodaya avi barabote ilama	avi	suryodaya	barabote ilama	ilama	barabote
181	bala kalyana adharabhuta vidyalaya, ilama	bala kalyana avi ilama	avi	bala kalyana	ilama	ilama	
182	jalpa pra॰ vi॰, ilama	jalpa pravi ilama	pravi	jalpa	ilama	ilama	
183	narayana adharabhuta vidyalaya, godaka ilama	narayana avi godaka ilama	avi	narayana	godaka ilama	ilama	godaka
184	sarasvati pra॰vi॰, danabari, ilama	sarasvati pravi danabari ilama	pravi	sarasvati	danabari ilama	ilama	danabari
185	bhagavati adharabhuta vidyalaya, jitapura, ilama	bhagavati avi jitapura ilama	avi	bhagavati	jitapura ilama	ilama	jitapura
186	jalapa ni॰ma॰vi|, ilama	jalapa nimavi ilama	nimavi	jalapa	ilama	ilama	
187	kamala devi adharabhuta vidyalaya, ilama	kamala devi avi ilama	avi	kamala devi	ilama	ilama	
188	phalate madhyamika vidyalaya, ilama	phalate mavi ilama	mavi	phalate	ilama	ilama	
189	valamandala u॰ madhyamika vidhalaya, ilama	valamandala mavi ilama	mavi	valamandala	ilama	ilama	
190	valmiki simhadevi adharabhuta vidyalaya, ilama	valmiki simhadevi avi ilama	avi	valmiki simhadevi	ilama	ilama	
191	janata madhyamika vidyalaya mai nagarapalika, ilama	janata mavi mai nagarapalika ilama	mavi	janata	mai nagarapalika ilama	ilama	mai nagarapalika
192	thokaphela prathamika vidhalaya, ilama	thokaphela pravi ilama	pravi	thokaphela	ilama	ilama	
193	narayana jana madhyamika vidhalaya machchegau.n, kathamadaum	narayana jana mavi machchegau.n kathamadaum	mavi	narayana jana	machchegau.n kathamadaum	kathamadaum	machchegau.n
194	vinapani madhyamika vidyalaya, ilama	vinapani mavi ilama	mavi	vinapani	ilama	ilama	
195	ba.njhogau.n madhyamika vidyalaya chulachuli, ilama	ba.njhogau.n mavi chulachuli ilama	mavi	ba.njhogau.n	chulachuli ilama	ilama	chulachuli
