school_id,name,location,ward,local_level_id,local_level,district_id,district,province_id,province,old_name1,old_name2,old_name3,modified_name,modified_location,modified_local_level,modified_district,modified_province,modified_old_name1,modified_old_name2,modified_old_name3,school_levels,root_school_name
1773,bhogateni pra vi,aarubote,1.0,414,letang municipality,6,morang,1,koshi province,bhogateni pra v,,,bhogateni pravi,aarubote,letang municipality,morang,koshi province,bhogateni pravi,,,pravi,bhogateni pr
1776,bhola ni ma v,basantapur,3.0,719,duhabi municipality,11,sunsari,1,koshi province,,,,bhola nimavi,basantapur,duhabi municipality,sunsari,koshi province,,,,nimavi,bhola ni
1778,bhrikuti adhar v,luwaphu,8.0,497,phalelung rural municipality,8,panchthar,1,koshi province,bhrikuti ni ma v,,,bhrikuti avi,luwaphu,phalelung rural municipality,panchthar,koshi province,bhrikuti nimavi,,,avi,bhrikuti
1780,bhrikuti adharbhut bidyalaya,bhrikutimarga anjanimood,7.0,261,bhadrapur municipality,4,jhapa,1,koshi province,bhrikuti pra v,,,bhrikuti avi,bhrikutimarga anjanimood,bhadrapur municipality,jhapa,koshi province,bhrikuti pravi,,,avi,bhrikuti
1781,bhrikuti basic school,dandagaun,4.0,625,madi municipality,9,sankhuwasabha,1,koshi province,bhrikuti pra v,,,bhrikuti avi,dandagaun,madi municipality,sankhuwasabha,koshi province,bhrikuti pravi,,,avi,bhrikuti
1791,bhumesthan basic school,sitamdu,5.0,711,nechasalyan rural municipality,10,solukhumbu,1,koshi province,bhumesthan adhar v,,,bhumesthan avi,sitamdu,nechasalyan rural municipality,solukhumbu,koshi province,bhumesthan avi,,,avi,bhumesthan
1802,bidhya sirjanatmak ma vi,mangsebung,4.0,248,mangsebung rural municipality,3,ilam,1,koshi province,bidya sirjanatmak ma v,,,bidhya sirjanatmak ma vi,mangsebung,mangsebung rural municipality,ilam,koshi province,bidya sirjanatmak ma vi,,,mavi,bidhya sirjanatmak ma vi
1807,bidhyodaya adhar v,chhitatal,9.0,360,diktel rupakot majhuwagadhi municipality,5,khotang,1,koshi province,,,,bidhyodaya avi,chhitatal,diktel rupakot majhuwagadhi municipality,khotang,koshi province,,,,avi,bidhyodaya
1808,bidhyodaya basic school,maijogmai,3.0,247,maijogmai rural municipality,3,ilam,1,koshi province,bidhyodaya pra v,,,bidhyodaya avi,maijogmai,maijogmai rural municipality,ilam,koshi province,bidhyodaya pravi,,,avi,bidhyodaya
1809,bidhyodaya basic school,damak,4.0,264,damak municipality,4,jhapa,1,koshi province,bidhyodaya adhar v,,,bidhyodaya avi,damak,damak municipality,jhapa,koshi province,bidhyodaya avi,,,avi,bidhyodaya
1816,bidya basic school,tilkeni,8.0,245,ilam municipality,3,ilam,1,koshi province,bidya pra v,,,bidya avi,tilkeni,ilam municipality,ilam,koshi province,bidya pravi,,,avi,bidya
1817,bidya jyoti basic school,charpate,7.0,761,phungling municipality,12,taplejung,1,koshi province,bidya jyoti pra v,,,bidya jyoti avi,charpate,phungling municipality,taplejung,koshi province,bidya jyoti pravi,,,avi,bidya jyoti
1818,bidya mandir basic school,gidhaniya,5.0,409,gramthan rural municipality,6,morang,1,koshi province,bidya mandir adhar v,,,bidya mandir avi,gidhaniya,gramthan rural municipality,morang,koshi province,bidya mandir avi,,,avi,bidya mandir
