id,school,
111,"Anand Basic School Ratamate, Madhuvan, Bardia",
112,"Jayanepal Primary School, Tanhu",
113,"National Basic School, Tanahun",
114,"Shankar Secondary School, Tanahun",
115,"Janak Secondary School, Gaindakot, BC Nawalparasi",
116,"Saraswati Basic School, Bhanu Napa, Tanahun",
117,"Jeevanjayeti Basic School, Bharatpur, Chitwan",
118,"Durga Sheshkanth Adhikari Secondary School, Vijayanagar, Chitwan",
119,Mahendra Jyoti Secondary School Tanahun,
120,"Krishna Secondary School Ghiring, Tanahun",
121,"Gudi Phachang Basic School, Tanahun",
122,"Mahendri Secondary School Vyas, Tanahun",
123,"Barahi Primary School, Rishing District, Tanahun",
124,"Deepak Secondary School, Tanahu",
125,Kusmavati Primary School Tanahun,
126,"Krishna Gandaki Primary School, Belswara, Tanahun",
127,"Shree Basic Primary School Sisawas, Parsabazar, Chitwan",
128,Kaligandaki Primary School,
129,"Araniko Higher Secondary School Mirlung, Tanahun",
130,"Mukundeshwari Primary School, Tanahu",
131,Janata Primary School Vyas Tanuhun,
132,Navdurga Secondary School Rampur Palpa,
133,"Chandrajyoti Secondary School, Tanahu",
134,"Chandra Jyoti Secondary School, Tanahun",
135,"Sangam Secondary School Anpurna Village, Kaski",
136,"Pond Primary School, Ilam",
137,"Adarsh Secondary School, Sanothimi, Bhaktapur",
138,"Balamandal Secondary School, Ilam District, Ilam",
139,"Sri Kalika Devi Primary School, Amchok, Ratmate, Ilam",
140,SUBHADRA PRIMARY SCHOOL PHAKFOLK ILAM,
141,"Navinpragati Primary School, Ilam",
142,"Manpower Prof. V, Tanhu",
143,"Lakshmi Devi Primary School, Amchok, Ilam",
144,"Mahendrodaya Basic School, Ilam",
145,"Kaligandaki Basic School, Tanahun",
146,"Mahadev Basic School Devghat, Tanahun",
147,Secondary School,
148,"Sumbek Lower Secondary School, Ilam",
149,"Siddeshwari Primary School, Barbote, Ilam",
150,"Adarsh Basic School Ilam District, Ilam",
151,"Narayani Model Secondary School, Bharatpur-10, Chitwan",
152,"Jan Shishu Kalyan Basic School, Tanahun",
153,"Jan Prabhat Secondary School, Kathmandu",
154,"Puwamai Primary School, Ilam",
155,"Nanda Secondary School, Ilam District, Ilam",
156,"Buddha Ardash Higher Secondary School, Jhapa",
157,"Varchuli Secondary School Devchuli, BC Navalparasi",
158,"Mahadev Primary School, Ilam",
159,"Male Primary School, Ilam",
160,"Hattitar Basic School, Maijogmai, Ilam",
161,"Lakshmi Vidya Bhavan Basic School, My Napa, Ilam",
162,"Nepal Jyoti Basic School, Namsaling, Ilam",
163,"Gajurmukhi Basic School, Jitpur, Ilam",
164,"Gyanodaya Primary School, Vadhare Ilam",
165,"Saraswati Primary School, Samalbung, Ilam",
166,"Janata Primary School Pang, Ilam",
167,"Siddhartha Basic School, Ilam",
168,"National Basic School, Myzogmai, Ilam",
169,"Himalaya Lower Secondary School, Chasapani, Ilam",
170,"Purnasmark Secondary School, Ilam",
171,"Public Welfare Primary School Godak, Ilam",
172,"Saraswati Higher Secondary School, Watase, Ilam",
173,"Rashtpremi Higher Secondary School, Ilam",
174,"Valkanya Lower Secondary School, Ilam",
175,"Yuvavarsha Primary School, Ilam",
176,"Tribhuvan Primary School Panchkanya, Ilam",
177,"Amar Jyoti Basic School Sangrumba, Ilam",
178,"Maheshwara Lower Secondary School, Soyak Ilam",
179,"Deumai Basic School, Eelam",
180,"Suryodaya Basic School, Barbote, Ilam",
181,"Child Welfare Basic School, Ilam",
182,"Jalpa Pvt. V, Ilam",
183,"Narayan Basic School, Godak Ilam",
184,"Saraswati Primary School, Danabari, Ilam",
185,"Bhagwati Basic School, Jitpur, Ilam",
186,"Jalpa Lower Secondary School. , Elam",
187,"Kamal Devi Basic School, Ilam",
188,"Falate Secondary School, Ilam",
189,"Walmandal Higher Secondary School, Ilam",
190,"Valmiki Singhadevi Basic School, Eelam",
191,"Janata Secondary School Mai Municipality, Ilam",
192,"Thokfela Primary School, Ilam",
193,"Narayan Jan Secondary School, Machhegaon, Kathmandu",
194,"Vinapani Secondary School, Ilam",
195,"Banjogaon Secondary School Chulachuli, Ilam",
196,"Siddha Devi Primary School Puwamjuwa, Ilam",
197,"Siddhadeumai Lower Secondary School Chayaita, Ilam",
198,"Dumbar Devi Secondary School, Ilam",
199,"Mahendra Secondary School, Tanahun",
200,"Narayanachaur Primary School, Tanhu",
201,"Saleri Primary School, Ilam",
202,"Janata Primary School Chamaita, Ilam",
203,"Sinhadevi Secondary School, Ilam",
204,"Bhrikuti Secondary School, Tanahun",
205,"Public Secondary School Bhanu Napa, Tanahun",
206,"Dullab Secondary School Mussel, Gorkha",
207,"Jeevan Jyoti Secondary School, Kafaldanda, Gorkha",
208,"Hiramani Basic School, Tanahun",
209,"Chisopani Secondary School, Mangsebung, Ilam",
210,"Janata Jaiswal Secondary School Godar, Dhanusha",
211,Secondary School Digambarpur Dhanusha,
212,"Buddhashanti Secondary School, Rapti, Chitwan",
213,"Bashahasthan Secondary School, Tanhu",
214,"Anandjyoti Secondary School Pokhara, Kaski",
215,"Lakshmi Lower Secondary School, Tanahu",
216,"Gorakh Basic School, Samalwung, Ilam",
217,"Sinha Adarsh Primary School, Ilam",
218,"Pang Secondary School Pang Kutidanda, Ilam",
219,"Jyoti Primary School Jogmai, Ilam",
220,"Mahendri Higher Secondary School, Tanahun",
221,"Annapurna Secondary School, Gorkha",
222,"Amarkalyan Secondary School, Maijaegmai, Ilam",
223,"Kapia Higher Secondary School, Kumroz Chitwan",
224,"Ratna Rajya Secondary School, Baneshwar, Kathmandu",
225,Niranjana Primary School,
226,"Birendra Higher Secondary School Kumari-3, Nuwakot",
227,"Amrit Basic School, Tanahun",
228,"Shantipur Secondary School Shantipur, Ilam",
229,"Kailash Primary School, Ilam",
230,"Chanidka Primary School, Tanhu",
231,"Indradevi Lower Secondary School, Tanhu",
232,"RA Primary School, Divanagar, Chitwan",
233,"Kaliganga Secondary School, Baidi, Tanahun",
234,"Arunodaya Basic School, Shantipur, Ilam",
235,"Balkesh Secondary School, Devghat, Tanahun",
236,"Narayan Primary School, Simalchaur Tanahun",
237,"Amar Primary School, Beas, Tanahun",
238,"Bhimsun Basic School Sandakpur, Ilam",
239,Shivamai Secondary School Nayabazar-3 Ilam,
240,"Gurunggaon Primary School, Ilam",
241,"Kankai Secondary School, Ilam",
242,"Laliguras Primary School, Khotang",
243,"Kamal Primary School, Tanhu",
244,"Krishnalaya Basic School, Beas, Tanahun",
245,"Prabodh Secondary School, Mabu, Ilam",
246,"Janjyoti Basic School Jantedhunga Village, Khotang",
247,"Kamdhenu Secondary School, Kathmandu",
248,"Basic School, Dhanusha",
249,Gorkha Kalika Basic School Tanahun,
250,"Kalika Basic School Devghat, Chitwan",
251,"Parvati Basic School Rupakot, Khotang",
252,secondary school,
253,"Adarsh Shiksha Secondary School, Tanahun",
254,"CHANDRODAY PRIMARY SCHOOL, TANAHU",
255,"Prithvi Higher Secondary School, Khotang",
256,"Mahendradaya Secondary School Halesi, Khotang",
257,"Saraswati Lower Secondary School, Khotang",
258,"Jan Bikas Primary School, Khotang",
259,"Saraswati, Khotang",
260,"Buddhist Basic School Aiselukharak Village, Khotang",
261,"Deurali Higher Secondary School, Khotang",
262,"Janata Secondary School Sukhipur, Siraha",
263,"Saraswati Primary School, Shuklagandaki District, Tanahun",
264,"Shanti Primary School Bandipur, Tanahun",
265,"Krishna Higher Secondary School, Gajarkot Tanahun",
266,"Jan Kalyana Primary School, Manang",
267,"Ghatweshi Basic School Bhimsen, Gorkha",
268,"Shikhar Jyoti Primary School, Vayapani Hermi, Gorkha",
269,"Chandika Basic School, Wungkot, Gaerkha",
270,"Amar Lower Secondary School Lower, Tanahun",
271,"Shankar Primary School, Beas, Tanahun",
272,"New Jyoti Primary School Vyasa Napa, Tanahun",
273,"Jaldevi Secondary School, Beas, Tanahun",
274,"Pelung Primary School Nirmalidanda, Khotang",
275,"Janata Secondary School Halesi Tuwachung District, Khaetang",
276,"Mahendra Jyoti Secondary School, Shishaghat, Tanahun",
277,"Chandi Niketan Primary School, Khotang",
278,"Sasu Niketan Primary School, Khamdada, Yamkha, Khotang",
279,Nav Jyoti Primary School,
280,Mahendra Secondary School Dhor Bhusunapur Tanahun,
281,"Jaldevi Basic School, BC Nawalparasi",
282,"Ratna Jyoti Basic School, Tanahun",
283,"Vijaya Primary School, Khotang",
284,"Janata Basic School, Mahdeva, Siraha",
285,"Lower Secondary School, Khotang",
286,"National Primary School, Saptari",
287,"Pashupati Primary School, Shuklagandaki, Tanahun",
288,Chandradaya Primary School Bhanu Tanahun,
289,"Panchkoshi Secondary School, Parbat",
290,"Saraswati Lower Secondary School Bhirkot, Tanahun",
291,"Vishnu Lower Secondary School, Tanhu",
292,"Radha Damodar Gyan Jyoti Sanskrit Secondary School, Sankhar, Syangja",
293,"Akala Basic School, Anbukhaireni, Tanahun",
294,"Parvati Primary School, Tanahun",
295,"Kalika Primary School, Damkhu Baxila-1 Khotang",
296,"Jai Saraswati Primary School, Khotang",
297,"Hanuman Prasad Sarada Secondary School, Inerwa, Siraha",
298,"Ganga Jamuna Primary School, Khotang",
299,"Janata Primary School, Pokhria, Siraha",
300,"Shree Janata Basic School, Dhanusha",
301,"Bhagwati Dinanath Secondary School, Khotangbazar, Khotang",
302,"Adarsh Basic School, Sundarharaincha, Morang",
303,"Mahendradaya Higher Secondary School, Dandagaon Okhre, Khotang",
304,"Jaldevi Primary School, Jamdi Tanahun",
305,"Satyavati Primary School, Rupakot, Vilauni, Tanahun",
306,Nkumari Primary School,
307,Bhawani Primary School,
308,"Shahidargham Lower Secondary School, Tanahu",
309,"Krishna Primary School, Ratanpur Tanahun",
310,"Sitapaila Secondary School, Sitapaila Kathmandu",
311,"Sahjeevan Primary School, Risti-3 Tanuhun",
312,"Sri Shantisrujana Primary School, Tanahu",
313,"Post Basic School Vandipur, Tanahoon",
314,"Ravichandra Primary School, Myagde District, Tanahun",
315,"Mahendra Secondary School Raipur, Tanahun",
316,"Sri Jayaganapati Primary School, Tanahu",
317,Meen Secondary School Tharpu Tanahun,
318,"Kalika Secondary School Bharatpokhri, Kaski",
319,"Nava Prabhat Secondary School, New Bazar, Pokhara Kaski",
320,"Hanswahini Secondary School, Tanhu",
321,"Shanti Vidyagriha Secondary School, Lainchour, Kathmandu",
322,"Kalika Secondary School, Bhanu Napa, Tanahun",
323,"Remembrance Primary School, Tanahun",
324,Radha Higher Secondary School Tanahun,
325,"Janata Basic School, Beas, Tanahun",
326,"Janjyoti Basic School, Devghat, Sinchang, Tanahoon",
327,"Sangam Primary School, Tanhu",
328,"Tilicho Basic School, Khangsar Manang",
329,"Paruhang Sharan Primary School, Khotang",
330,"Shri Janata Primary School, Khotang",
331,"Uday Secondary School, Beas, Tanahun",
332,"Panchkanya Secondary School, Makwanpur",
333,"Jalpadevi Primary School, Makwanpur",
334,"Vijay Lower Secondary School, Dolakha",
335,"Vedakalika Primary School, Tanahun",
336,"Krishnaganga Lower Secondary School, Ramjakot-9 Tanahun",
337,"Kamdhenu Basic School, Tanuhan",
338,Brahm Basic School VSU East Nawalparasi,
339,"Nag Primary School, Rishing District, Tanahun",
340,"Kamghenu Lower Secondary School, Tanahu",
341,"Jayadurga Secondary School, Tanahoon",
342,"Sarada Primary School Bhagwatipur, Tanahun",
343,"Himalaya Secondary School, Tanhu",
344,"Jan Jagriti Ganga Secondary School, Vyas Napa, Tanahun",
345,"Siddheshwari Secondary School, Kamalabari Tanahun",
346,"Saraswati Sadan Secondary School, Tanahu",
347,"Uday Secondary School, Tanhu",
348,"Annapurna Seetapokhari Basic School, Kaski",
349,"Masyangdi Community Basic School, Tanahun",
350,"Narayani Lower Secondary School Warabhanjyang, Tanahun",
351,"Homrajlohani Secondary School, Tanahu",
352,"Naya Jyoti Primary School, Tanhu",
353,"Adarsh Saraswati Secondary School, Tanhu",
354,"Vindhyavasini Secondary School, Barpatan, Kaski",
355,"Bhimnagar Secondary School Bhimnagar, Chitwan",
356,"Bachhuli Secondary School, Chitwan",
357,"Bhangeri Basic School Bandipur, Tanahun",
358,"Purkot Prof. V., Tanhu",
359,"Amar Jyoti Basic School Vyas, Tanahun",
360,"Himalaya Secondary School Ajirkot, Gorkha",
361,"Vishwajwati Prof. V, Tanhu",
362,"Camin Secondary School, Camin, Tanahun",
363,"Gunjnagar Secondary School, Chitrawan, Chitwan",
364,"Sharda Secondary School, Bharatpur Metropolitan City, Shardanagar, Chitwan",
365,"Mahadebata Primary School, Tanhu",
366,"Buchakhani Lower Secondary School, Tanhu",
367,"Shukra Basic School Vyas Napa, Tanahun",
368,"Siddha Basic School, Tanahun",
369,"Kalika Primary School, Tanhu",
370,"Dharma Basic School, Tanahun",
371,"Udaya Primary School, Dharampani-3 Tanahun",
372,"Bhairav Basic School Bandipur, Tanahun",
373,"Janajagruti Primary School, Tanhu",
374,"Shiva Secondary School, Shivavasti, Nawalparasi",
375,"Satyavati Secondary School, Damauli, Tanahun",
376,"Bhawani National Secondary School, Kailali",
377,"Galkot Secondary School, Syangja",
378,"Barahi Primary School, Shuklagandaki, Tanahun",
379,"Vidya Nikunj Secondary School, Bhanu Napa, Tanahun",
380,"Saraswati Secondary School, Savung, Tanahun",
381,"Deepak Primary School, Tanhu",
382,"Parvati Secondary School Devghat, Tanahun",
383,"Nirmal Secondary School Vyas, Tanahun",
384,"Chandi Devi Basic School, Tanhu",
385,"Adarsh Shiksha Primary School, Tanahu",
386,"Shahid Ganga Secondary School Kanhu, Shivpur, Tanahun",
387,"Bhaskar Primary School, Tanahun",
388,"Kalyan Devi Primary School, Tanahun",
389,"Pragati Lower Secondary School, Nawalparasi",
390,"Janjyoti Secondary School, West Nawalparasi",
391,"Gadibhanjaya Primary School, Tanhu",
392,"Andi Barahi Primary School Vandipur 5, Tanahoon",
393,"Chhabdi Warhi Basic School, Tanahun",
394,"Jansevika Primary School, Beas, Tanahun",
395,"Ravichandra Primary School, Tanhu",
396,"Ved Vyas Primary School, Vyas, Tanahun",
397,"Mahendrajyoti Primary School, Thaprek, Tanahun",
398,"National Secondary School, Rupakot, Tanahoon",
399,"Aruna Primary School, Tanahu",
400,"Shiv Saraswati Secondary School, Rishing District, Tanahun",
401,"Janapriya Basic School, Tanahun",
402,"Ram Primary School, Bandipur, Viruwatar, Tanahun",
403,"Vasant Basic School, Tanahun",
404,"Harpankot Secondary School, Pokhara City, Kaski",
405,"Deurali Primary School, Wahvise, Tanahoon",
406,"Mardasha Primary School, Tanahu",
407,"Girls' Primary School, Tanhu",
408,"Kusmavati Prof. V, Tanhu",
409,"Bal Mandir Secondary School, Damauli, Tanahun",
410,"Sarvajyoti Lower Secondary School, Tanhu",
411,"Buddha Primary School Warabhanjyang, Tanahun",
412,"Bajrayogani Secondary School, Devghat, Tanahun",
413,"Kalika Basic School, Bhanu No. 10, Tanahun",
414,"Rameshwari Secondary School, Kaski",
415,"Panchakanya Basic School, Tanahun",
416,"Gogan Secondary School, Pokhara Lekhnath, Kaski",
417,"Tamung Primary School, Tanhu",
418,"Shop Primary School, Tanahun",
419,Arun Secondary School Dharampani Tanahun,
420,Saraswati Basic School Chokchisapani Tanuhan,
421,"Kotkalika Primary School, Tanhu",
422,"Sarvajyoti Primary School, Tananhu",
423,"Kalika Secondary School, Purkot, Tanahun",
424,Bhanu Sanskrit Secondary School Tanahun,
425,"Kalika Secondary School, Pokhara, Kaski",
426,"Chandi Primary School, Tanhu",
427,"Rishithum Primary School Darmuk, Tanhu",
428,"Shramik Primary School, Tanhu",
429,"Ganosh Primary School, Tanhu",
430,"Bhirkot Basic School Rishing, Tanahun",
431,"Child Development Secondary School, Tanahun",
432,"Tatopani Primary School, Tanahu",
433,"Mango Primary School, Mango Khaireni, Tanahun",
434,Shiv Sunder Primary School Tanahun,
435,"Amarjyoti Secondary School Byas, Tanahun",
436,"Kalpeshwar Basic School, Ramkot, Kathmandu",
437,Jal Devi Higher Secondary School Tanahun,
438,"Mangala Secondary School, Suryapal, Lamjung",
439,"Panchjyoti Primary School, Camin, Pathar, Tanahun",
440,"Shaheed Krishna Secondary School, Tanahun",
441,"Himalaya Secondary School, Mauza Kaski",
442,"Male Primary School, Tanhu",
443,"Dipendra Basic School, BC Nawalparasi",
444,"Child Development Primary School, Tanhu",
445,"Bal Naketan Lower Secondary School, Tanah",
446,"Janpremi Secondary School, Shuklagandaki, Tanahun",
447,"Arunodaya Primary School, Tanahun",
448,"Sehabeer Basic School, Gumlek, Tanahun",
449,"Village Farkodaya Secondary School, Shuklagandaki District, Tanahun",
450,"Udaya Basic School, Bhaktapur",
451,"Vishwashanti Primary School, Putlibazar, Syangja",
452,"National Basic School, Tanahun",
453,"Jaldevi Basic School Devghat, Tanahun",
454,"Ramshah Secondary School, Ambukhaireni District, Tanahun",
455,"Janakalyana Secondary School, Tanahu",
456,"Mahadevasthan Basic School, Gorkha",
457,"Vishwajyoti, Khotang",
458,"Warahi Secondary School Vyas, Farakchaur, Tanahun",
459,"National Basic School, Jasidwal, Kathmandu",
460,"Mahasyakanya Lower Secondary School, Tanhu",
461,"Chandeswari Basic School, Beas, Tanahun",
462,"Peace Year Primary School, Tanahu",
463,"Navjyoti Primary School, Kaski",
464,"Talbesi Secondary School, Tanahu",
465,"Amarjyoti Village Fark Secondary School, Lekhnath-5 Kaski",
466,"Lakshmi Adarsh Higher Secondary School, Kaski",
467,"Janasayogi Primary School, Tanhu",
468,"Guheshwari Lower Secondary School, Kathmandu",
469,"Shukla Secondary School, Beltar, Tanahun",
470,"Kanya Debi Primary School, Tanhu",
471,"Chhabdi Secondary School, Tanahun",
472,"Khaireni Secondary School, Shuklagandaki, Tanahun",
473,"Dil Primary School, Tanhu",
474,"Masryangadi Basic School, Bhanu, Tanahun",
475,"Shaheed Krishna Secondary School, Shuklagandaki, Tanahun",
476,"Bhanu Secondary School, Tanahun",
477,"Seemana Primary School, Tanahu",
478,"Rajpur Secondary School, Tanahun",
479,"Kalika Secondary School, Kaski",
480,"Rajasthala Primary School, Tanahu",
481,"Basic Secondary School Raipur, Tanahun",
482,"Maheshwari Secondary School, Pokhara, Kaski",
483,"Janajagruti Gyan Rashmi Secondary School, Walajutar, Kathmandu",
484,"Chandi Debi Primary School, Tanhu",
485,"Ratna Rajya Lakshmi Kanya Basic School, Tanuhun",
486,"Suryodaya Basic School, Tanahoon",
487,"Arunodaya Secondary School Gitanagar, Chitwan",
488,"Bhawanikalika Secondary School, Vijayapur, Kaski",
489,"Childcare Secondary School Bhojpur, Dang",
490,"Child Development Primary School, Dang",
491,"Andi Barahi Basic School, Bandipur, Tanahun",
492,Janashram Primary School Rolpa,
493,"Lower Secondary School, Hapur Ratanpur Dang",
494,"M. V. Dudhras, Dang",
495,Krishna Basic School Madi Village Rolpa,
496,"Secondary School Talawang, Rolpa",
497,"Janata Sanskrit Secondary School Vijauri, Dang",
498,"Prof. V. Inner Sakram, Dang",
499,"Prof. V. Kalj, Dang",
500,"Ganesh Basic School, Dang",
501,"Tribhuvan Public Secondary School Luhaping, Khalanga, Salyan",
502,"Yugwodh Basic School Rajpur, Deukhuri, Dang",
503,"Night Basic School, Baibang, Dang",
504,"Chaudhare Lower Secondary School, Dang",
505,"Secondary School Manpur, Dang",
506,"Primary School, Gurukhola",
507,"Primary School Kathberuv, Dang",
508,"Nepal National Secondary School, Parnapur Sanoshree Bardia",
509,"Prof. V. Sevya, Dang",
510,"Basic School, Barahkhuti, Dang",
511,"Well Deukhuri Lower Secondary School, Dang",
512,"Primary School Sect, Dang",
513,"Normal Model Secondary School, Dang",
514,"Saraswati Primary School Jogai, Ilam",
515,"Maure People Primary School, Ilam",
516,"Mahendradaya Basic School, Deumai District, Ilam",
517,"Sarada Primary School, Ilam",
518,"Panch Kanya Primary School, Khotang",
519,"Gurans Basic School, Jaleshwari, Khotang",
520,"Pildand, Khotang",
521,"Janak Secondary School, Sriantu, Ilam",
522,"Jhamkal Secondary School, Ilam",
523,"Tomane Lower Secondary School, Khotang",
524,"Janata Primary School, Brahmapuri Arnma, Siraha",
525,"Janachetana Primary School, Diyale, Dipkhark, Dhitung, Khotang",
526,"Child Welfare Primary School, Salle, Khotang",
527,"Janata Secondary School, Sonmati Gada, Siraha",
528,"Saraswarnath Secondary School, Saraswar, Siraha",
529,"Kuhundanda Secondary School, Khartamcha, Fedi, Khotang",
530,"Janata Secondary School Kataiya, Fatehpur, Saptari",
531,"Vidyajyoti Primary School, Ilam",
532,"Kuhudanda Secondary School, Khotang",
533,"Janata Secondary School, Jijhaul, Kajra, Siraha",
534,"Damli Secondary School, Damli-4, Khotang",
535,"Panchavati Basic School Halesi Tuwachung, Khotang",
536,"Lakshmi Higher Secondary School, Badhare, Khotang",
537,"Dudhkoshi Primary School, Khotang",
538,Malupokhari Basic School Ilam,
539,"Janajyoti Basic School Khutavitalaw, Khotang",
540,"Vidhodaya Primary School, Khotang",
541,"Secondary School, Vuduchoutara, Jumla",
542,"Nepal National Basic School, Manara Shiswa District, Mahottari",
543,"Uma Maheshwar Lower Secondary School, Ilam",
544,"Chisopani Higher Secondary School, Ilam",
545,"Wina Primary School, Khotang",
546,Buddha Basic School Ilam,
547,"Chandrakala Primary School, Ilam",
548,"Dikuwa Basic School, Halesi Tuwachung District, Khotang",
549,"Kalika Primary School, Wahunidanda, Khotang",
550,"Shanti Lower Secondary School, Khotang",
551,"Namsaling Higher Secondary School, Namsaling Ilam",
552,"Maipokhari Sanskrit Secondary School, Sandakpur, Eelam",
553,"Himalaya Secondary School, Gorkhe, Eelam",
554,"Saraswati Higher Secondary School, Lakshmipur Ilam",
555,"Shantipur Secondary School, Khotang",
556,"Tomane Primary School, Tomane, Khotang",
557,"Ganesh Basic School, Khotang",
558,"Common Primary School, Khotang",
559,"Jan Jagriti Primary School, Khotang",
560,"Prithvi Secondary School Kepilasgarhi Gapa, Khotang",
561,"Dharapani Secondary School, Khotang",
562,"Kushmand Basic School, Pakhe, Okhaldhunga",
563,"Devi Basic School Diprung Chuichumma, Khotang",
564,"Maha Kala Primary School, Khotang",
565,"Lamitar Basic School, Rong Rural Municipality, Ilam",
566,"Panchayat Rajat Primary School, Khotang",
567,"Shanti Basic School, Halesi Tuwachung District, Khotang",
568,Damodar Mahasingh Primary School Khotang,
569,"Janashram Primary School, Khotang",
570,"Deepak Janjyoti Primary School, Khotang",
571,"Sarvodaya Basic School, Sunsari",
