school_id	name	name_processed	district_id
1141	Amar secondary school	Amar secondary school Basic School , Gauradaha Jhapa	4
1142	Amar Secondary School	Amar Secondary School , Pakhribas Dhankuta	2
1144	Amar Singh Basic School	Amar Singh Basic School Viddyala , Phedap Tehrathum	13
1145	Amar Singh Prathamik Vidhyalaya	Amar Singh Primary School , Jhapa Jhapa	4
1146	Amar Singh Secondary School	Amar Singh Secondary School , Pathari Morang	6
1147	Amaramarlaxmi i	Amaramarlaxmi i Amar Laxmi Primary School , Rangeli Morang	6
1148	Amardaha Children Public Ebs	Amardaha Children Public Ebs , Sunawarshi Morang	6
1150	Amarjyoti Basic School	Amarjyoti Basic School , Ilam Ilam	3
1151	Amarkalyan Secondary School	Amarkalyan Secondary School , Maijogmai Ilam	3
1152	Amarpur Secondary School	Amarpur Secondary School Uchha , Hilihang Panchthar	8
1153	Amarsingh Adhar V	Amarsingh Basic School , Silichong Sankhuwasabha	9
1154	Amarsmriti Basic School	Amarsmriti Basic School Primary , Phungling Taplejung	12
1155	Amaruwa Uchha Ma V	Amaruwa Uchha Secondary School , Dharmadevi Sankhuwasabha	9
1156	AMBAR BASIC SCHOOL	AMBAR BASIC SCHOOL Ambar Basic School , Katahari Morang	6
1158	Ambebar Janta Ma V	Ambebar Janta Secondary School Janata Uchha , Triyuga Udayapur	14
1159	Ambegudin Basic School	Ambegudin Basic School , Sirijangha Taplejung	12
1160	Ambegudin Secondary School	Ambegudin Secondary School Aambegudin , Sirijangha Taplejung	12
1161	Ambika Basic School	Ambika Basic School Lower Secondary , Sidingba Taplejung	12
1163	Ambote Basic School	Ambote Basic School Primary , Aathrai Taplejung	12
1164	AMITY INTERNATIONAL SCHOOL	AMITY INTERNATIONAL SCHOOL , Biratnagar Morang	6
1167	Amlise Bhanjyang Basic School	Amlise Bhanjyang Basic School Bidhyalaya , Mai Ilam	3
1168	Amlishe Pra VI	Amlishe Primary School , Suryodaya Ilam	3
1170	Amrash Adharbhut Bidhyalaya	Amrash Basic Bidhyalaya , Thulung Solukhumbu	10
1171	Amrit  Secondary School	Amrit Secondary School Basic , Bahradashi Jhapa	4
1172	Amrit Basic School	Amrit Basic School Bidhyalaya , Kummayak Panchthar	8
1175	Ananda Pra V	Ananda Primary School , Dhanapalthan Morang	6
1176	Anandeshwar Basic School	Anandeshwar Basic School Primary , Siddhicharan Okhaldhunga	7
1177	Ananta Pra V	Ananta Primary School , Dhanapalthan Morang	6
1178	Ananta Pra V	Ananta Primary School , Katahari Morang	6
1179	Ananta Sikshya Jyoti Pra V	Ananta Sikshya Jyoti Primary School , Dharan Sunsari	11
1181	Anarmani Adharbhut Bidhyalaya	Anarmani Basic Bidhyalaya Bidhalaya , Birtamod Jhapa	4
1183	Andheri Basic School	Andheri Basic School Primary , Mikwakhola Taplejung	12
1187	Angepa Basic School	Angepa Basic School Lower Secondary , Sidingba Taplejung	12
1188	Anibarya Nisulka  Basic school takure	Anibarya Nisulka Basic school takure , Sahidbhumi Dhankuta	2
1189	Aniwarya Nisulka Basic school	Aniwarya Nisulka Basic school , sahidbhumi- 1 dhankuta Sahidbhumi Dhankuta	2
1190	Aniwarya Nisulka Basic School	Aniwarya Nisulka Basic School Lower Secondary , Pakhribas Dhankuta	2
1191	Aniwarya Nisulka Secondary School	Aniwarya Nisulka Secondary School secondary school , Sahidbhumi Dhankuta	2
1193	Annapurna Academy P.v.t Ltd	Annapurna Academy P.v.t Ltd , Ramdhuni Sunsari	11
1194	Annapurna Basic School	Annapurna Basic School Primary , Madi Sankhuwasabha	9
1195	Annapurna Basic School Bhalupakwan	Annapurna Basic School Bhalupakwan Primary , Rautamai Udayapur	14
1196	Annapurna Basic School(1-5), Bajagara	Annapurna Basic School(1-5) , Bajagara Primary School Limchungbung Udayapur	14
1199	Annapurna Ma Vi	Annapurna Secondary School , Diktel Khotang	5
1200	Annapurna Pra V Balapipaldanda	Annapurna Primary School Balapipaldanda , Limchungbung Udayapur	14
1201	Annapurna Pra V Dandagaun	Annapurna Primary School Dandagaun , Limchungbung Udayapur	14
1203	Annapurna Secondary School	Annapurna Secondary School , Mahalaxmi Dhankuta	2
1204	Annapurna Secondary School	Annapurna Secondary School , Pakhribas Dhankuta	2
1207	Anshubarma Basic School	Anshubarma Basic School Primary , Suryodaya Ilam	3
1208	Antarrastriya Yuwabarsha Basic School	Antarrastriya Yuwabarsha Basic School Yuvabarsha Primary , Siddhicharan Okhaldhunga	7
1217	Araniko Basic School	Araniko Basic School Ariniko Primary , Pathivara Taplejung	12
1218	Araniko Basic School	Araniko Basic School Primary , Kamal Jhapa	4
1219	Araniko Madhyamik Bidhyalaya	Araniko Secondary Bidhyalaya Primary School , Mechinagar Jhapa	4
1223	Araniko Secondary School	Araniko Secondary School Aroniko , Bhadrapur Jhapa	4
1227	Arjundhara Sanskrit Adarsha Secondary School, Arjundhara-7	Arjundhara Sanskrit Adarsha Secondary School , Arjundhara-7 Jhapa	4
1229	Arjundhara Secondary School, Arjundhara-4	Arjundhara Secondary School , Arjundhara-4 Jhapa	4
1234	Arubhanjyang Basic School  Balakhu	Arubhanjyang Basic School Balakhu , Sunkoshi Okhaldhunga	7
1235	Arubote Bal Bikash Kendra	Arubote Bal Bikash Kendra Bbk , Aathrai Tehrathum	13
1236	Arubote Basic School Musegaira	Arubote Basic School Musegaira Primary , Aathrai Tehrathum	13
1237	Arun Basic School	Arun Basic School Primary , Bhojpur	1
1238	Arun Basic School	Arun Basic School Primary , Hatuwagadhi Bhojpur	1
1239	Arun Basic School Batase	Arun Basic School Batase Primary , Khandbari Sankhuwasabha	9
1240	Arun Basic(1-8) School Saldada	Arun Basic(1-8) School Saldada Lower Secondary , Chainpur Sankhuwasabha	9
1241	Arun Besic School, Bhotkhola	Arun Besic School , Bhotkhola Primary Sankhuwasabha	9
1242	Arun Ganga Basic School	Arun Ganga Basic School Primary , Bhojpur	1
1246	Arun Valley Public School	Arun Valley Public School Boarding Khandbari-7 Sankhuwasabha , Khandbari Sankhuwasabha	9
1247	Arunkoshi Basic School	Arunkoshi Basic School Primary , Shadananda Bhojpur	1
1248	Arunodaya  Basic school	Arunodaya Basic school , Gauradaha Jhapa	4
1249	Arunodaya Basic school	Arunodaya Basic school Primary School , Hilihang Panchthar	8
1250	Arunodaya Basic School Biratnagar	Arunodaya Basic School Biratnagar , Morang	6
1251	Arunodaya Basic School Gahate	Arunodaya Basic School Gahate Primary , Siddhicharan Okhaldhunga	7
1252	Arunodaya Basic School, Arjundhara-7	Arunodaya Basic School , Arjundhara-7 Arjundhara Jhapa	4
1256	Arunodaya karmajyamu Adharbhut Bidyalaya	Arunodaya karmajyamu Basic School Primary , Bhotkhola Sankhuwasabha	9
1258	Arunodaya Pra V	Arunodaya Primary School , Shivasatakshi Jhapa	4
1259	Arunodaya Pra V	Arunodaya Primary School , Dharmadevi Sankhuwasabha	9
1260	Arunodaya Pra. Vi.	Arunodaya Primary School , Hatuwagadhi Bhojpur	1
1262	Arunodaya Secondary School	Arunodaya Secondary School Uchha , Mahalaxmi Dhankuta	2
1263	Arunodaya Secondary School	Arunodaya Secondary School , Bhotkhola Sankhuwasabha	9
1264	Arunodaya secondary school	Arunodaya secondary school Secondary School , Arun Bhojpur	1
1265	Arya Adharbhut   Vidhalaya   Harinagar-3 Gautampur	Arya Basic Vidhalaya Harinagar-3 Gautampur Primary School , Harinagar Sunsari	11
1266	Asanglung Basic School	Asanglung Basic School Primary , Maiwakhola Taplejung	12
1272	Asine Basic School	Asine Basic School , Menchhayayem Tehrathum	13
1275	Atalsinghadevi Pra V	Atalsinghadevi Primary School , Sahidbhumi Dhankuta	2
1276	Atharasaya Secondary School	Atharasaya Secondary School , Chaubise Dhankuta	2
1278	Atmara Basic School	Atmara Basic School Primary , Dhankuta Dhankuta	2
1279	Aulia Taulia Basic School	Aulia Taulia Basic School Primary , Pauwadungma Bhojpur	1
1280	Auliya Secondary School	Auliya Secondary School , Barahkshetra Sunsari	11
1281	Awatariraksha Pra. Vi.	Awatariraksha Primary School , Hatuwagadhi Bhojpur	1
1283	B P Saraswati Pra V	B P Saraswati Primary School , Ramdhuni Sunsari	11
1284	B PAdharvut V Harinagar-4	B PBasicvut School Harinagar-4 P Primary , Harinagar Sunsari	11
1288	B.P. Adharbhut vidhyalaya	B.P. Basic School , Inaruwa Sunsari	11
1289	B.p. Madan Adharbhut vidhyalaya	B.p. Madan Basic School Bp , Koshi Sunsari	11
1290	Baba Dinabhadri Adharbhut Bidyalaya	Baba Dinabhadri Basic School Primary , Jahada Morang	6
1291	Babuchiri Bal Kalyan Pra V	Babuchiri Bal Kalyan Primary School , Solududhakunda Solukhumbu	10
1292	Babuji Adharbhut Vidhyalaya	Babuji Basic School , Dewanganj Sunsari	11
1295	Babyjyoti English Boarding School	Babyjyoti English Boarding School , Kachankawal Jhapa	4
1298	Bachala Devi Basic School	Bachala Devi Basic School Primary , Rawa Khotang	5
1299	Bad danda Basic School	Bad danda Basic School Badadanda , Likhu Okhaldhunga	7
1300	Bagaincha Basic School	Bagaincha Basic School Primary , Hilihang Panchthar	8
1301	Bagarbari Basic School	Bagarbari Basic School Primary , Phungling Taplejung	12
1302	Bageshwori Primary School	Bageshwori Primary School , Dhankuta Dhankuta	2
1303	Bageswari Aadharbhut Bidhyalaya (1-5) Gohiya	Bageswari Basic Bidhyalaya (1-5) Gohiya Primary School , Udayapurgadhi Udayapur	14
1305	Bagishwari Adharbhoot Vidyalaya	Bagishwari Basic School Bagishwori , Silichong Sankhuwasabha	9
1306	Bagishwary Ma. Vi. Dhungedhara	Bagishwary Secondary School Dhungedhara Uchha , Khandbari Sankhuwasabha	9
1308	Baguwa Pra V	Baguwa Primary School , Gauriganj Jhapa	4
1309	Bahadur Baba Chaudhari basic school	Bahadur Baba Chaudhari basic school Babu Primary School , Urlabari Morang	6
1310	Bahuban Secondary School	Bahuban Secondary School , Rong Ilam	3
1311	Bahumukhi Basic School	Bahumukhi Basic School , Miklajung Morang	6
1314	BAIJANATH BAIJANI BASIC SCHOOL (1-5) SIRISEDADA	BAIJANATH BAIJANI BASIC SCHOOL (1-5) SIRISEDADA (0-5) , Udayapurgadhi Udayapur	14
1315	Baikalpik Primary School	Baikalpik Primary School , Ainselukharka Khotang	5
1316	Bairati Basic School	Bairati Basic School Primary , Gauradaha Jhapa	4
1317	Bajramai  Secondary School	Bajramai Secondary School , Chaubise Dhankuta	2
1318	Bakhapalam Secondary School	Bakhapalam Secondary School Bhakhapalam Basic , Sotang Solukhumbu	10
1319	Bakhari Adharbhut School	Bakhari Basic School , Biratnagar Morang	6
1320	Bakraha Secondary School	Bakraha Secondary School , Miklajung Morang	6
1321	Bakshila Basic School	Bakshila Basic School Primary , Deumai Ilam	3
1324	Bal Bahadur Basic school	Bal Bahadur Basic school Primary School , Kummayak Panchthar	8
1325	Bal Bahubhasiya Basic School	Bal Bahubhasiya Basic School Primary , Itahari Sunsari	11
1326	Bal Balika Pra V	Bal Balika Primary School , Khandbari Sankhuwasabha	9
1327	Bal basic school	Bal basic school Primary School , Kachankawal Jhapa	4
1328	Bal Bhadra Janata Ma V	Bal Bhadra Janata Secondary School , Mechinagar Jhapa	4
1331	Bal Bidya Mandir Basic School	Bal Bidya Mandir Basic School Primary , Gramthan Morang	6
1333	Bal Bikas Basic School	Bal Bikas Basic School Bikash Basicvut , Letang Morang	6
1334	Bal Bikas BasicSchool	Bal Bikas BasicSchool Bikash Primary School , Phalgunanda Panchthar	8
1336	Bal Bikash Adhar V	Bal Bikash Basic School , Mechinagar Jhapa	4
1337	Bal Bikash Adharbhoot Vidhyalaya	Bal Bikash Basic School school,Nabagaun , Makalu Sankhuwasabha	9
1338	Bal Bikash Basic School	Bal Bikash Basic School Primary , Suryodaya Ilam	3
1339	Bal Bikash Basic School	Bal Bikash Basic School Primary , Ratuwamai Morang	6
1340	Bal Bikash Basic School	Bal Bikash Basic School Primary , Ratuwamai Morang	6
1341	Bal Bikash Basic School	Bal Bikash Basic School Primary , Halesi Khotang	5
1342	Bal Bikash Basic(1-5) School Lamechaur	Bal Bikash Basic(1-5) School Lamechaur Primary , Chainpur Sankhuwasabha	9
1343	Bal Bikash Pra V	Bal Bikash Primary School , Solududhakunda Solukhumbu	10
1344	Bal Bikash Pra V	Bal Bikash Primary School , Diktel Khotang	5
1345	Bal Bikash Pra V	Bal Bikash Primary School , Katari Udayapur	14
1346	Bal Chetana basic School Nageswary -10	Bal Chetana basic School Nageswary -10 Primary , Khandbari Sankhuwasabha	9
1347	Bal Chetana Pra V	Bal Chetana Primary School , Ainselukharka Khotang	5
1348	Bal Devi Pra V	Bal Devi Primary School , Rawa Khotang	5
1352	Bal Jyoti Basic school	Bal Jyoti Basic school basic , Nechasalyan Solukhumbu	10
1353	Bal Jyoti Basic(1-5) School Koksa	Bal Jyoti Basic(1-5) School Koksa Primary , Chainpur Sankhuwasabha	9
1357	Bal Jyoti Pra V	Bal Jyoti Primary School , Shivasatakshi Jhapa	4
1358	Bal Jyoti Pra V	Bal Jyoti Primary School , Diktel Khotang	5
1360	Bal Jyoti Pra Vi	Bal Jyoti Primary School , Arjundhara Jhapa	4
1361	Bal Jyoti Pra Vi	Bal Jyoti Primary School , Urlabari Morang	6
1363	Bal Kalyan  Primary School	Bal Kalyan Primary School , Sangurigadhi Dhankuta	2
1364	Bal Kalyan Aa Vi  Kusunde	Bal Kalyan Basic School Kusunde Primary , Mangsebung Ilam	3
1365	Bal Kalyan Adharbhoot  Vidhylaya	Bal Kalyan Basic Vidhylaya Primary School , Makalu Sankhuwasabha	9
1367	Bal Kalyan Basic (1-5)School Kingring	Bal Kalyan Basic (1-5)School Kingring Primary School , Chainpur Sankhuwasabha	9
1368	Bal Kalyan Basic School	Bal Kalyan Basic School Bidhyalaya , Mai Ilam	3
1369	Bal Kalyan basic school	Bal Kalyan basic school Primary School , Kerabari Morang	6
1370	Bal Kalyan Basic School	Bal Kalyan Basic School Primary , Kerabari Morang	6
1371	Bal Kalyan basic school	Bal Kalyan basic school Primary School , Kerabari Morang	6
1372	Bal Kalyan Basic School	Bal Kalyan Basic School Primary , Aamchowk Bhojpur	1
1373	Bal Kalyan Basic School	Bal Kalyan Basic School Primary , Halesi Khotang	5
1374	Bal Kalyan Pra V	Bal Kalyan Primary School , Mangsebung Ilam	3
1376	Bal Kalyan Pra V	Bal Kalyan Primary School , Rong Ilam	3
1378	Bal Kalyan Pra V	Bal Kalyan Primary School , Sandakpur Ilam	3
1379	Bal Kalyan Pra V	Bal Kalyan Primary School , Bhotkhola Sankhuwasabha	9
1380	Bal Kalyan Pra V	Bal Kalyan Primary School , Salpasilichho Bhojpur	1
1381	Bal Kalyan Pra V Chatiwane	Bal Kalyan Primary School Chatiwane , Limchungbung Udayapur	14
1382	Bal Kalyan Pra. Vi.	Bal Kalyan Primary School , Letang Morang	6
1383	Bal Kalyan Pra. Vi.	Bal Kalyan Primary School , Hatuwagadhi Bhojpur	1
1384	Bal Kalyan Praimary School	Bal Kalyan Praimary School Primary , Dhankuta Dhankuta	2
1385	Bal Kalyan Primary	Bal Kalyan Primary School , Chaubise Dhankuta	2
1386	Bal Kalyan Primary School	Bal Kalyan Primary School , Mahalaxmi Dhankuta	2
1387	Bal Kalyan Primary School	Bal Kalyan Primary School , Dhankuta Dhankuta	2
1389	Bal Kanya Aadharbhut Bidhyalaya (1-5)	Bal Kanya Basic Bidhyalaya (1-5) Primary School , Barahapokhari Khotang	5
1390	Bal Kanya Basic School	Bal Kanya Basic School Primary , Nechasalyan Solukhumbu	10
1392	Bal Kanya Pra V	Bal Kanya Primary School , Silichong Sankhuwasabha	9
1393	Bal Kanya Pra V	Bal Kanya Primary School , Bhojpur Bhojpur	1
1394	Bal Kanya Pra V	Bal Kanya Primary School , Mapya Solukhumbu	10
1395	Bal Kanya Pra V	Bal Kanya Primary School , Diktel Khotang	5
1396	Bal Kanya Pra V	Bal Kanya Primary School , Halesi Khotang	5
1397	Bal Kanya Pra V	Bal Kanya Primary School , Diktel Khotang	5
1398	Bal Kanya Pra. Vi.	Bal Kanya Primary School , Hatuwagadhi Bhojpur	1
1400	Bal Ma V  Rani	Bal Secondary School Rani , Biratnagar Morang	6
1401	Bal Ma Vi	Bal Secondary School , Biratnagar Morang	6
1402	Bal Mandir Basic School	Bal Mandir Basic School Primary , Phungling Taplejung	12
1403	Bal Mandir basic school	Bal Mandir basic school Basic Bidhyalaya , Mai Ilam	3
1404	Bal Mandir Basic School	Bal Mandir Basic School Primary , Biratnagar Morang	6
1405	Bal Mandir Basic School(1-5)	Bal Mandir Basic School(1-5) Primary School , Chainpur Sankhuwasabha	9
1406	Bal Mandir Ma V	Bal Mandir Secondary School , Inaruwa Sunsari	11
1409	Bal Mandir Pra V	Bal Mandir Primary School , Solududhakunda Solukhumbu	10
1411	Bal Mukhi adharbhut vidyalaya	Bal Mukhi Basic School Primary ajgar , Chaudandigadhi Udayapur	14
1413	Bal Namuna Pra V	Bal Namuna Primary School , Miklajung Panchthar	8
1414	Bal Nanda Basic School	Bal Nanda Basic School Primary , Tumbewa Panchthar	8
1416	Bal Niketan Pra V	Bal Niketan Primary School , Sandakpur Ilam	3
1417	Bal Nikunja Basic School	Bal Nikunja Basic School Primary , Phedap Tehrathum	13
1418	Bal Pra V Bansbote Ahaltar	Bal Primary School Bansbote Ahaltar , Limchungbung Udayapur	14
1419	Bal Pragati Basic School	Bal Pragati Basic School Bidhyalaya , Mai Ilam	3
1426	Bal Sewa Basic School	Bal Sewa Basic School , Shivasatakshi Jhapa	4
1427	Bal Shakti Basic School	Bal Shakti Basic School Primary , Aamchowk Bhojpur	1
1428	Bal Sikshya Pra V	Bal Sikshya Primary School , Phalelung Panchthar	8
1429	Bal Sikshya Primary School	Bal Sikshya Primary School , Pakhribas Dhankuta	2
1431	Bal Subodhini Sanskrit Secondary School	Bal Subodhini Sanskrit Secondary School Uchha , Phungling Taplejung	12
1432	Bal Subodhini Secondary School	Bal Subodhini Secondary School Basic , Mechinagar Jhapa	4
1433	Bal Sudha Pra V	Bal Sudha Primary School , Makalu Sankhuwasabha	9
1434	Bal Sudhar Panchakanya Basic School	Bal Sudhar Panchakanya Basic School Pancha Kanya Primary , Pauwadungma Bhojpur	1
1435	Bal Sudhar Pra V	Bal Sudhar Primary School , Diktel Khotang	5
1436	Bal Sushil Basic School	Bal Sushil Basic School Primary , Dharmadevi Sankhuwasabha	9
